,brand,alignment
333,everbank,-0.17473946698548148
159,greats,-0.1564899573385945
1064,brothers,-0.1424514455054443
1365,liftmaster,-0.12638196194371906
1011,harpoon,-0.12425969235582944
1112,johnson,-0.1216495590362144
1097,booyah,-0.12083310100255959
146,rampage,-0.12010300097415677
35,reebok,-0.11815865388877156
349,esp,-0.1130207183957247
1424,jayco,-0.1088147405799182
1398,cobra,-0.10740265058831713
1104,daiwa,-0.10653876598562537
1342,bosch,-0.1059515654238335
505,awin,-0.105701572061948
982,landshark,-0.1009289714107133
31,nike,-0.0997718321995113
589,jbm,-0.09941712691305356
1117,mustad,-0.09940628492552853
528,marco,-0.09729727431436859
40,shimano,-0.09709143981024171
138,lucchese,-0.09649913386804046
18,gill,-0.09499989384993753
499,wwe,-0.0911888561151609
267,pimco,-0.09043983729165087
1459,vistajet,-0.09039774177705204
260,invesco,-0.08847369691779124
1352,emed,-0.08789661102010406
297,commsec,-0.08550789693708864
604,dav,-0.08516738789854808
1467,mauisails,-0.08312243114503748
870,magnum,-0.08155593185149995
534,multiview,-0.08108804226864344
317,jefferies,-0.08055890422192138
613,saic,-0.08029476601019842
332,uif,-0.08026567270303243
340,panchos,-0.07989067426800465
27,mavic,-0.0792930937219664
157,ecco,-0.07832992321570467
1422,featherlite,-0.0781710189010129
249,bloomberg,-0.07670386875274257
25,leatt,-0.07657451903434527
1012,hatuey,-0.07623468539263606
0,adidas,-0.07610346289998511
1311,ryobi,-0.07552298339069531
1464,microgame,-0.0749472850460729
97,sandro,-0.07448778315132853
39,scott,-0.07447701326235595
978,heineken,-0.07401751406169087
728,alen,-0.07357992787343126
275,allianz,-0.07354809963596542
551,synacor,-0.07340269909067937
169,supra,-0.07334504713686099
991,steinlager,-0.07317500481708625
487,laff,-0.07234672597311781
1305,acdelco,-0.07228013542616307
350,ifs,-0.07207118178573653
61,chubbies,-0.07142346255779312
29,mobius,-0.07086436007107272
469,zoom,-0.07081665190609682
847,skinner,-0.07057688668777551
465,nexcess,-0.07038243626680186
917,mariner,-0.06962588116228571
1143,smith,-0.06950902762332198
1405,toc,-0.06946701506050457
562,excalibur,-0.06918861583558314
1228,bestar,-0.06909800743662596
1107,frabill,-0.06877180116699144
177,cenzo,-0.06805799691484085
790,scitec,-0.06713586969660656
1019,gambrinus,-0.06711220551506744
131,gurus,-0.06708293363376698
1164,rawlings,-0.06689211892090083
1037,furbo,-0.06684860321558456
1421,dutchmen,-0.0660531534599563
814,san,-0.06585505112872223
210,shadetree,-0.0656164310784978
554,watchfire,-0.06529871301091321
1063,boneheads,-0.06388651333868559
1162,obrien,-0.06307402651173502
715,gatorade,-0.062170923883205206
193,roth,-0.061556332482157236
1324,axion,-0.06135021666697911
335,aecom,-0.06010995347111484
916,lance,-0.05992565733982666
387,octopus,-0.05970048457683382
24,laird,-0.059612818603290055
1110,halco,-0.05916757445583915
440,cybernet,-0.058718647190544315
104,wrangler,-0.05862871443374173
976,coors,-0.05856701865915141
1042,teledyne,-0.05855266361211986
288,optionshouse,-0.05850936714343796
1310,rayovac,-0.0574256699381484
86,lee,-0.057191430829844465
207,revo,-0.055819688956622496
1171,kontrolfreek,-0.055675889553896726
971,budweiser,-0.0552359350949342
1148,coleman,-0.05504909699740968
761,instone,-0.054767227757917675
511,designa,-0.05418882221203149
331,rabobank,-0.053762587465566974
1353,garrett,-0.053513004345920975
1312,saft,-0.05348858967701659
336,amone,-0.052857550640023426
51,zoot,-0.05279859313740326
255,gotham,-0.05273551965832674
96,rapala,-0.05237339735392038
1356,hid,-0.05194464286660545
1142,slick,-0.05180597489190665
259,icon,-0.0517560510373277
