Old Index,Name,Category,Gender
1,adidas,A141 Sportswear & Athleticwear,0
2,alias,A141 Sportswear & Athleticwear,0
3,asics,A141 Sportswear & Athleticwear,0
4,assos,A141 Sportswear & Athleticwear,0
5,athleta,A141 Sportswear & Athleticwear,1
6,biink,A141 Sportswear & Athleticwear,0
7,bogner,A141 Sportswear & Athleticwear,0
8,calia,A141 Sportswear & Athleticwear,1
9,compressport,A141 Sportswear & Athleticwear,0
10,converse,A141 Sportswear & Athleticwear,1
11,cortech,A141 Sportswear & Athleticwear,0
12,dainese,A141 Sportswear & Athleticwear,1
13,dirtbaggies,A141 Sportswear & Athleticwear,0
14,dkny,A141 Sportswear & Athleticwear,1
15,endura,A141 Sportswear & Athleticwear,1
16,fila,A141 Sportswear & Athleticwear,1
17,garneau,A141 Sportswear & Athleticwear,1
18,gill,A141 Sportswear & Athleticwear,0
19,giordana,A141 Sportswear & Athleticwear,1
20,huk,A141 Sportswear & Athleticwear,0
21,hylete,A141 Sportswear & Athleticwear,1
22,kjus,A141 Sportswear & Athleticwear,0
23,ktm,A141 Sportswear & Athleticwear,0
24,laird,A141 Sportswear & Athleticwear,0
25,leatt,A141 Sportswear & Athleticwear,0
26,lululemon,A141 Sportswear & Athleticwear,0
27,mika,A141 Sportswear & Athleticwear,1
28,mobius,A141 Sportswear & Athleticwear,0
29,mondor,A141 Sportswear & Athleticwear,0
30,mudgear,A141 Sportswear & Athleticwear,0
31,nike,A141 Sportswear & Athleticwear,1
32,ornot,A141 Sportswear & Athleticwear,0
33,orsden,A141 Sportswear & Athleticwear,0
34,proviz,A141 Sportswear & Athleticwear,0
35,puma,A141 Sportswear & Athleticwear,1
36,quiksilver,A141 Sportswear & Athleticwear,0
37,rapha,A141 Sportswear & Athleticwear,1
38,reebok,A141 Sportswear & Athleticwear,0
39,roka,A141 Sportswear & Athleticwear,1
40,scott,A141 Sportswear & Athleticwear,0
41,simpson,A141 Sportswear & Athleticwear,0
42,spidi,A141 Sportswear & Athleticwear,1
43,thor,A141 Sportswear & Athleticwear,0
44,vans,A141 Sportswear & Athleticwear,0
45,varsity,A141 Sportswear & Athleticwear,1
46,voler,A141 Sportswear & Athleticwear,0
47,zeeni,A141 Sportswear & Athleticwear,1
48,zoot,A141 Sportswear & Athleticwear,0
49,barbour,A141 Sportswear & Athleticwear,0
50,berrylook,A141 Sportswear & Athleticwear,0
51,blair,A141 Sportswear & Athleticwear,0
52,bluffworks,A141 Sportswear & Athleticwear,0
53,bonobos,A141 Sportswear & Athleticwear,0
54,callaway,A141 Sportswear & Athleticwear,1
55,carhartt,A141 Sportswear & Athleticwear,0
56,carters,A141 Sportswear & Athleticwear,0
57,chaps,A141 Sportswear & Athleticwear,0
58,columbia,A141 Sportswear & Athleticwear,1
59,covers,A141 Sportswear & Athleticwear,0
60,criquet,A141 Sportswear & Athleticwear,0
61,cubavera,A141 Sportswear & Athleticwear,1
62,customink,A141 Sportswear & Athleticwear,0
63,delta,A141 Sportswear & Athleticwear,1
64,dickies,A141 Sportswear & Athleticwear,0
65,dockers,A141 Sportswear & Athleticwear,0
66,dolfin,A141 Sportswear & Athleticwear,0
67,duer,A141 Sportswear & Athleticwear,0
68,filson,A141 Sportswear & Athleticwear,0
69,gabba,A141 Sportswear & Athleticwear,1
70,gamiss,A141 Sportswear & Athleticwear,0
71,gillz,A141 Sportswear & Athleticwear,0
72,globus,A141 Sportswear & Athleticwear,0
73,goodthreads,A141 Sportswear & Athleticwear,0
74,gq,A141 Sportswear & Athleticwear,0
75,haggar,A141 Sportswear & Athleticwear,0
76,hanes,A141 Sportswear & Athleticwear,0
77,healincomfort,A141 Sportswear & Athleticwear,0
78,hincapie,A141 Sportswear & Athleticwear,1
79,hollister,A141 Sportswear & Athleticwear,0
80,izod,A141 Sportswear & Athleticwear,0
81,joamom,A141 Sportswear & Athleticwear,0
82,kooples,A141 Sportswear & Athleticwear,0
83,lee,A141 Sportswear & Athleticwear,1
84,levis,A141 Sportswear & Athleticwear,0
85,milwaukee,A141 Sportswear & Athleticwear,1
86,mnml,A141 Sportswear & Athleticwear,0
87,nautica,A141 Sportswear & Athleticwear,1
88,nehera,A141 Sportswear & Athleticwear,1
89,odyssey,A141 Sportswear & Athleticwear,1
90,pandora,A141 Sportswear & Athleticwear,1
91,patagonia,A141 Sportswear & Athleticwear,1
92,poplin,A141 Sportswear & Athleticwear,0
93,prada,A141 Sportswear & Athleticwear,1
94,primease,A141 Sportswear & Athleticwear,1
95,rapala,A141 Sportswear & Athleticwear,1
96,ribbedtee,A141 Sportswear & Athleticwear,1
97,sefamerve,A141 Sportswear & Athleticwear,1
98,stantt,A141 Sportswear & Athleticwear,0
99,supermodels,A141 Sportswear & Athleticwear,0
100,threds,A141 Sportswear & Athleticwear,0
101,tucker,A141 Sportswear & Athleticwear,0
102,untuckit,A141 Sportswear & Athleticwear,0
103,venus,A141 Sportswear & Athleticwear,0
104,versace,A141 Sportswear & Athleticwear,1
105,vince,A141 Sportswear & Athleticwear,1
106,yoins,A141 Sportswear & Athleticwear,0
107,zanella,A141 Sportswear & Athleticwear,1
108,zorrel,A141 Sportswear & Athleticwear,0
109,zubaz,A141 Sportswear & Athleticwear,0
110,alegria,A311 Womens Shoes & Boots,1
111,amalfi,A311 Womens Shoes & Boots,1
112,andrea,A311 Womens Shoes & Boots,1
113,aquatalia,A311 Womens Shoes & Boots,1
114,ara,A311 Womens Shoes & Boots,1
115,arche,A311 Womens Shoes & Boots,1
116,balenciaga,A311 Womens Shoes & Boots,1
117,bally,A311 Womens Shoes & Boots,1
118,balmain,A311 Womens Shoes & Boots,0
119,berrylook,A311 Womens Shoes & Boots,0
120,birkenstock,A311 Womens Shoes & Boots,0
121,boden,A311 Womens Shoes & Boots,0
122,coolway,A311 Womens Shoes & Boots,1
123,cougar,A311 Womens Shoes & Boots,0
124,crocs,A311 Womens Shoes & Boots,0
125,dior,A311 Womens Shoes & Boots,0
126,feelgoodz,A311 Womens Shoes & Boots,0
127,fitflop,A311 Womens Shoes & Boots,0
128,fuchsia,A311 Womens Shoes & Boots,1
129,gurus,A311 Womens Shoes & Boots,0
130,havaianas,A311 Womens Shoes & Boots,0
131,hermes,A311 Womens Shoes & Boots,0
132,kyboot,A311 Womens Shoes & Boots,0
133,mara,A311 Womens Shoes & Boots,1
134,melissa,A311 Womens Shoes & Boots,1
135,naturalizer,A311 Womens Shoes & Boots,0
136,nina,A311 Womens Shoes & Boots,1
137,novus,A311 Womens Shoes & Boots,0
138,pikolinos,A311 Womens Shoes & Boots,0
139,prada,A311 Womens Shoes & Boots,1
140,rampage,A311 Womens Shoes & Boots,1
141,skechers,A311 Womens Shoes & Boots,0
142,soda,A311 Womens Shoes & Boots,1
143,sorel,A311 Womens Shoes & Boots,0
144,superfeet,A311 Womens Shoes & Boots,0
145,tecovas,A311 Womens Shoes & Boots,0
146,tods,A311 Womens Shoes & Boots,0
147,troentorp,A311 Womens Shoes & Boots,0
148,twigy,A311 Womens Shoes & Boots,1
149,adidas,A321 Sneakers,0
150,altra,A321 Sneakers,1
151,asics,A321 Sneakers,0
152,bally,A321 Sneakers,1
153,bata,A321 Sneakers,1
154,brooks,A321 Sneakers,0
155,columbia,A321 Sneakers,1
156,converse,A321 Sneakers,1
157,crocs,A321 Sneakers,0
158,ellesse,A321 Sneakers,1
159,fila,A321 Sneakers,1
160,greats,A321 Sneakers,0
161,naturalizer,A321 Sneakers,0
162,nehera,A321 Sneakers,1
163,nfinity,A321 Sneakers,1
164,nike,A321 Sneakers,1
165,nobull,A321 Sneakers,0
166,oboz,A321 Sneakers,0
167,oofos,A321 Sneakers,0
168,puma,A321 Sneakers,1
169,reebok,A321 Sneakers,0
170,rockport,A321 Sneakers,0
171,ryka,A321 Sneakers,1
172,skechers,A321 Sneakers,0
173,skicks,A321 Sneakers,0
174,sperry,A321 Sneakers,1
175,supra,A321 Sneakers,1
176,vans,A321 Sneakers,0
177,akris,A411 Handbags,0
178,balenciaga,A411 Handbags,1
179,bally,A411 Handbags,1
180,balmain,A411 Handbags,0
181,bandolier,A411 Handbags,0
182,brahmin,A411 Handbags,0
183,celine,A411 Handbags,1
184,chanel,A411 Handbags,0
185,dclassica,A411 Handbags,1
186,dior,A411 Handbags,0
187,dkny,A411 Handbags,1
188,fendi,A411 Handbags,1
189,fregoli,A411 Handbags,1
190,frye,A411 Handbags,1
191,givenchy,A411 Handbags,1
192,hermes,A411 Handbags,0
193,jemma,A411 Handbags,1
194,lanvin,A411 Handbags,0
195,loewe,A411 Handbags,1
196,longchamp,A411 Handbags,0
197,maxmara,A411 Handbags,1
198,mcm,A411 Handbags,0
199,moynat,A411 Handbags,0
200,nehera,A411 Handbags,1
201,oncour,A411 Handbags,0
202,prada,A411 Handbags,1
203,roth,A411 Handbags,0
204,samara,A411 Handbags,1
205,senreve,A411 Handbags,1
206,spartina,A411 Handbags,1
207,tiffany,A411 Handbags,1
208,tods,A411 Handbags,0
209,babiators,A430 Sunglasses,0
210,cartier,A430 Sunglasses,0
211,celine,A430 Sunglasses,1
212,chanel,A430 Sunglasses,0
213,costa,A430 Sunglasses,1
214,daysight,A430 Sunglasses,0
215,dior,A430 Sunglasses,0
216,dkny,A430 Sunglasses,1
217,elle,A430 Sunglasses,1
218,ess,A430 Sunglasses,0
219,eyezz,A430 Sunglasses,0
220,fendi,A430 Sunglasses,1
221,gamiss,A430 Sunglasses,0
222,gatorz,A430 Sunglasses,0
223,givenchy,A430 Sunglasses,1
224,goodr,A430 Sunglasses,0
225,illesteva,A430 Sunglasses,1
226,kaenon,A430 Sunglasses,0
227,krewe,A430 Sunglasses,1
228,longchamp,A430 Sunglasses,0
229,luxottica,A430 Sunglasses,1
230,maxmara,A430 Sunglasses,1
231,mykita,A430 Sunglasses,1
232,oakley,A430 Sunglasses,1
233,popticals,A430 Sunglasses,0
234,prada,A430 Sunglasses,1
235,rocklands,A430 Sunglasses,0
236,roka,A430 Sunglasses,1
237,shadetree,A430 Sunglasses,1
238,tiffany,A430 Sunglasses,1
239,vense,A430 Sunglasses,1
240,voca,A430 Sunglasses,1
241,zeal,A430 Sunglasses,0
242,citi,B111 Credit Cards,1
243,disney,B111 Credit Cards,1
244,ebay,B111 Credit Cards,1
245,jcb,B111 Credit Cards,0
246,macerich,B111 Credit Cards,0
247,mastercard,B111 Credit Cards,0
248,salesloft,B111 Credit Cards,0
249,santander,B111 Credit Cards,0
250,scotiabank,B111 Credit Cards,0
