,Unnamed: 0,brand,alignment,Word2Vec_alignment,Word2Vec_resid_alignment,Wikipedia_alignment,Wikipedia_resid_alignment,Glove_alignment,Glove_resid_alignment,CommonCrawl_alignment,CommonCrawl_resid_alignment
0,333,everbank,-0.174739467,-0.174739458,-0.180754337,-0.12245479,0.052163457,-0.048977644,-0.017718904,-0.086708167,0.038144696
1,159,greats,-0.156489957,-0.156489949,-0.109799918,-0.175890119,-0.052816218,-0.149002638,-0.126793774,-0.170675724,-0.058252424
2,1064,brothers,-0.142451446,-0.142451438,-0.152366115,-0.200958468,-0.08558949,-0.144965445,-0.146056146,-0.186458129,-0.068075216
3,1365,liftmaster,-0.126381962,-0.126381956,-0.08538428,-0.194113717,0.027880841,-0.098152437,-0.043661459,-0.157573276,-0.017675349
4,1011,harpoon,-0.124259692,-0.124259686,-0.079760702,-0.063333786,0.137480735,-0.070569266,-0.009159874,-0.114530439,0.102381594
5,1112,johnson,-0.121649559,-0.121649553,0.004409427,-0.291829469,-0.068234256,-0.112755444,0.022789969,-0.285359939,-0.044754919
6,1097,booyah,-0.120833101,-0.120833095,-0.047296229,-0.170858297,0.04826607,-0.046504186,0.055135597,-0.129799975,0.044270306
7,146,rampage,-0.120103001,-0.120102995,-0.184166663,-0.25356339,-0.117942232,-0.152169345,-0.258833441,-0.174592027,-0.046917537
8,35,reebok,-0.118158654,-0.118158648,-0.198096455,-0.137833093,-0.090403823,-0.1235153,-0.151928778,-0.128821115,-0.124186591
9,349,esp,-0.113020718,-0.113020713,-0.1090367,-0.159641511,-0.052500239,-0.025122591,0.007813399,-0.093268718,-0.028361921
10,1424,jayco,-0.108814741,-0.108814735,-0.114675366,-0.125287633,-0.021796808,-0.002056169,0.043597552,-0.111034442,-0.056341368
11,1398,cobra,-0.107402651,-0.107402645,-0.085053024,-0.171557651,-0.08406511,-0.074205637,0.001314877,-0.162276927,-0.060583993
12,1104,daiwa,-0.106538766,-0.106538761,-0.040252171,-0.076695531,0.056646238,-0.099561417,0.005222641,-0.065608394,0.043653066
13,1342,bosch,-0.105951565,-0.10595156,-0.084266309,-0.221409395,-0.134727258,-0.108360214,-0.036736789,-0.214908997,-0.116374552
14,505,awin,-0.105701572,-0.105701567,-0.129977726,0,0.118987173,0.003937547,0.033000085,-0.102077438,-0.057122619
15,982,landshark,-0.100928971,-0.100928966,-0.023279193,-0.188385766,0.095599121,-0.165127279,-0.081081098,-0.157513986,0.097777702
16,31,nike,-0.099771832,-0.099771827,-0.17139815,-0.131426014,-0.105613252,-0.117724789,-0.157607661,-0.145601504,-0.148352394
17,589,jbm,-0.099417127,-0.099417122,-0.109418375,-0.073395312,0.025543682,-0.029863494,-0.045331535,-0.116730135,0.091426081
18,1117,mustad,-0.099406285,-0.09940628,0.00672993,-0.200306011,-0.003475712,0.010264121,0.094262785,-0.101758277,0.022541428
19,528,marco,-0.097297274,-0.097297269,-0.135200981,-0.215096281,-0.155932233,-0.147565964,-0.07182252,-0.273971303,-0.196250741
20,40,shimano,-0.09709144,-0.097091435,-0.13435105,-0.162085203,-0.100059136,-0.01719821,-0.036853219,-0.086829166,-0.063548806
21,138,lucchese,-0.096499134,-0.096499129,-0.159619595,-0.22298898,-0.08337458,-0.039592907,-0.175097625,-0.138293175,-0.036800543
22,18,gill,-0.094999894,-0.094999889,-0.118305766,-0.243582881,-0.192852351,-0.046741165,-0.061786296,-0.211620513,-0.181693996
23,499,wwe,-0.091188856,-0.091188852,-0.124105128,-0.092792816,0.016086591,0.047301027,0.055692436,-0.058004565,-0.015902328
24,267,pimco,-0.090439837,-0.090439833,-0.092861715,-0.184831295,-0.13088686,-0.181967255,-0.128284685,-0.170346139,-0.121596888
25,1459,vistajet,-0.090397742,-0.090397737,-0.080088278,-0.141234144,0.012493273,-0.070829761,-0.064491872,-0.105998288,-0.00718456
26,260,invesco,-0.088473697,-0.088473692,-0.088711941,-0.180199148,-0.099847013,-0.08722263,-0.048672048,-0.055583238,0.011453838
27,1352,emed,-0.087896611,-0.087896607,-0.019797287,-0.214220646,-0.096872134,-0.001794952,0.041668058,-0.181625886,-0.096786566
28,297,commsec,-0.085507897,-0.085507893,-0.087436255,-0.184544787,-0.078455444,0.051543469,0.063308086,-0.07970146,0.017195489
29,604,dav,-0.085167388,-0.085167384,-0.120249831,-0.265527565,-0.195782874,-0.064840648,-0.051309427,-0.22417399,-0.18879646
30,1467,mauisails,-0.083122431,-0.083122427,-0.08415063,0,0.148961496,-0.014235383,-0.024418609,-0.111612603,0.023157707
31,870,magnum,-0.081555932,-0.081555928,-0.113027357,-0.167581691,-0.027122706,-0.098220931,-0.120840662,-0.143419927,-0.023525167
32,534,multiview,-0.081088042,-0.081088038,-0.120975512,-0.103982978,-0.00748251,-0.071667416,-0.022975552,-0.023257377,0.065640854
33,317,jefferies,-0.080558904,-0.0805589,-0.080505937,-0.190289641,-0.082583318,-0.130144944,-0.070024996,-0.17990947,-0.063348824
34,613,saic,-0.080294766,-0.080294762,-0.124389115,-0.124181166,-0.08082682,-0.017869951,-0.023182198,-0.164127315,-0.13294172
35,332,uif,-0.080265673,-0.080265669,-0.078675744,-0.092046408,0.016097027,-0.035175323,-0.005505229,-0.070805625,0.083334014
36,340,panchos,-0.079890674,-0.07989067,-0.055838635,-0.134575599,0.029912972,-0.059937068,-0.02499603,-0.088134022,0.027461828
37,27,mavic,-0.079293094,-0.07929309,-0.116542775,-0.117965932,-0.043335515,-0.006903822,-0.02791394,-0.071499468,-0.056721202
38,157,ecco,-0.078329923,-0.078329919,-0.055096519,-0.11951403,-0.042294512,0.04248715,-0.001964131,-0.116060853,-0.051539958
39,1422,featherlite,-0.078171019,-0.078171015,-0.085990444,-0.110734432,0.085138223,0.055929588,0.090996226,0.009616257,0.114157199
40,249,bloomberg,-0.076703869,-0.076703865,-0.072878197,-0.214427762,-0.096874715,-0.051842267,-0.013777344,-0.136323634,-0.01471573
41,25,leatt,-0.076574519,-0.076574515,-0.120802269,0,0.101451787,-0.026129373,-0.043377709,-0.172325216,-0.157081541
42,1012,hatuey,-0.076234685,-0.076234682,-0.001807419,-0.191218252,0.073800889,-0.061750455,-0.012221022,-0.196501298,0.015639693
43,0,adidas,-0.076103463,-0.076103459,-0.158498421,-0.161094344,-0.122789283,-0.107332804,-0.148957017,-0.165246768,-0.169515246
44,1311,ryobi,-0.075522983,-0.07552298,-0.088784554,-0.083592548,-0.022490977,-0.090777517,-0.079072338,-0.107247476,-0.053499303
45,1464,microgame,-0.074947285,-0.074947281,-0.120979387,-0.116512393,0.083273762,0.049849131,-0.020679725,-0.105144547,0.045162044
46,97,sandro,-0.074487783,-0.074487779,-0.108158165,-0.22798331,-0.15709853,-0.103618703,-0.103733653,-0.218362611,-0.178204877
47,39,scott,-0.074477013,-0.07447701,-0.103875147,-0.239601092,-0.175662374,-0.099427082,-0.09817373,-0.276084307,-0.22355343
48,978,heineken,-0.074017514,-0.07401751,-0.030076626,-0.156431943,0.095685584,-0.095883993,-0.033751803,-0.170832652,0.086174269
49,728,alen,-0.073579928,-0.073579924,-0.129863554,-0.167930704,-0.148012053,-0.085998431,-0.11995577,-0.171045287,-0.141523293
50,275,allianz,-0.0735481,-0.073548096,-0.072278084,-0.184832338,-0.105081087,-0.104758235,-0.06091267,-0.099352278,-0.018569495
51,551,synacor,-0.073402699,-0.073402695,-0.121751317,-0.149646403,-0.051091548,-0.0483555,-0.006633194,-0.107339526,-0.038189342
52,169,supra,-0.073345047,-0.073345043,-0.046149427,-0.106506368,-0.009935417,-0.059102687,-0.095180647,-0.07096406,0.020335909
53,991,steinlager,-0.073175005,-0.073175001,-0.029164411,-0.218025098,0.102279519,-0.071051679,-0.015231307,-0.184360324,0.082152255
54,487,laff,-0.072346726,-0.072346722,-0.101640377,-0.150458633,-0.063271097,-0.049662601,-0.019909034,-0.133266685,-0.064606621
55,1305,acdelco,-0.072280135,-0.072280132,-0.082613432,-0.171089166,-0.06149776,-0.054665658,-0.046684708,-0.088777703,0.017208242
56,350,ifs,-0.072071182,-0.072071178,-0.066306543,-0.108222421,0.001258198,-0.067506854,-0.027392857,-0.111841734,-0.061053283
57,61,chubbies,-0.071423463,-0.071423459,-0.112500761,-0.166175106,-0.058445611,0.016818113,-0.00833573,-0.115214278,-0.087329343
58,29,mobius,-0.07086436,-0.070864357,-0.098886391,-0.138977799,-0.072333646,-0.083756524,-0.080884465,-0.099102613,-0.06859555
59,469,zoom,-0.070816652,-0.070816648,-0.10821234,-0.169545193,-0.10627696,-0.025561744,-0.018070518,-0.057831829,-0.002843571
60,847,skinner,-0.070576887,-0.070576883,-0.112369336,-0.211372017,-0.079812371,-0.121170708,-0.156023282,-0.194591578,-0.04232215
61,465,nexcess,-0.070382436,-0.070382433,-0.143464446,0,0.134816164,0.081506133,0.075457504,-0.088816139,0.002431972
62,917,mariner,-0.069625881,-0.069625878,-0.13839812,-0.107045326,-0.048041178,-0.068868289,-0.130507792,-0.112537274,-0.04538768
63,1143,smith,-0.069509028,-0.069509024,-0.123674494,-0.265878247,-0.132617177,-0.127662164,-0.124420779,-0.274204044,-0.129101332
64,1405,toc,-0.069467015,-0.069467012,-0.039659781,-0.071555588,0.006381092,0.015284312,0.060608373,-0.046465911,0.002213082
65,562,excalibur,-0.069188616,-0.069188612,-0.124448288,-0.022742626,0.112035091,-0.043832229,-0.072308581,-0.094939489,0.036410591
66,1228,bestar,-0.069098007,-0.069098004,-0.058761376,0,0.173755821,0.045801769,0.037080676,-0.068387719,0.029002481
67,1107,frabill,-0.068771801,-0.068771798,0.017920595,0,0.264514222,-0.054045403,0.037501984,-0.120706139,0.047228174
68,177,cenzo,-0.068057997,-0.068057993,-0.238412705,0,-0.005691044,-0.022464159,-0.115278934,-0.206131836,-0.222242315
69,790,scitec,-0.06713587,-0.067135866,-0.123192182,0,0.04228455,0.059581426,-0.009257821,-0.115949913,-0.084912719
70,1019,gambrinus,-0.067112206,-0.067112202,-0.020714631,-0.202247815,0.083923906,-0.068914781,-0.011595881,-0.142013036,0.096019614
71,131,gurus,-0.067082934,-0.06708293,-0.132890099,-0.14264332,-0.061096228,-0.161562585,-0.251675829,-0.065666948,0.006100086
72,1164,rawlings,-0.066892119,-0.066892116,-0.043476913,-0.153652027,0.015458521,-0.092566019,-0.066111973,-0.172441249,-0.011881106
73,1037,furbo,-0.066848603,-0.0668486,-0.050919258,-0.111471151,0.01479349,0.017506402,0.002873643,-0.081202477,-0.015722413
74,1421,dutchmen,-0.066053153,-0.06605315,-0.068801151,-0.199404562,-0.067678725,-0.11326182,-0.042656462,-0.1856019,-0.080037121
75,814,san,-0.065855051,-0.065855048,-0.11880433,-0.118122086,-0.111604563,-0.107952391,-0.142803249,-0.191078892,-0.172937407
76,210,shadetree,-0.065616431,-0.065616428,-0.04931015,0,0.129168054,-0.064508834,-0.075058557,-0.084346316,0.018034054
77,554,watchfire,-0.065298713,-0.06529871,-0.105058634,-0.129673424,-0.031738497,-0.053824506,-0.012764651,-0.122904371,-0.035625158
78,1063,boneheads,-0.063886513,-0.06388651,-0.100894755,-0.201268509,-0.048728809,-0.143373853,-0.136437789,-0.14080254,-0.020326218
79,1162,obrien,-0.063074027,-0.063074023,-0.034247164,-0.218485852,-0.033532702,0.05143738,0.042340116,-0.136494055,-0.028320658
80,715,gatorade,-0.062170924,-0.062170921,-0.135007086,-0.127342089,-0.106060457,-0.048721926,-0.11359422,-0.123735563,-0.08093483
81,193,roth,-0.061556332,-0.061556329,-0.218286886,-0.183718246,-0.17395825,-0.024868347,-0.126417051,-0.208031862,-0.219341124
82,1324,axion,-0.061350217,-0.061350214,-0.139673508,-0.149167543,-0.090819596,-0.089700477,-0.14479708,-0.095885771,-0.076609282
83,335,aecom,-0.060109953,-0.06010995,-0.060019684,-0.093589787,0.038672572,0.013403629,0.03143034,-0.087503002,-0.008848821
84,916,lance,-0.059925657,-0.059925654,-0.142003701,-0.233322809,-0.177652107,-0.132850616,-0.181193733,-0.29687481,-0.212437694
85,387,octopus,-0.059700485,-0.059700482,-0.109885981,-0.097300454,-0.010347807,-0.061704429,-0.039984438,-0.146559468,-0.055854822
86,24,laird,-0.059612819,-0.059612816,-0.094330244,-0.168824986,-0.114251788,-0.12710859,-0.110039371,-0.177466291,-0.144043409
87,1110,halco,-0.059167574,-0.059167571,0.059474926,0,0.264514222,-0.003151183,0.082309253,-0.153568352,-0.033514196
88,440,cybernet,-0.058718647,-0.058718644,-0.106302927,-0.167616918,-0.066442471,-0.031530742,-0.021367914,-0.08231415,-0.026476582
89,104,wrangler,-0.058628714,-0.058628711,-0.10483187,-0.20454849,-0.119522131,-0.047928918,-0.063618061,-0.080921847,-0.04767494
90,976,coors,-0.058567019,-0.058567016,-0.015062604,-0.10093646,0.082249614,-0.138475092,-0.070752228,-0.166553975,0.021305539
91,1042,teledyne,-0.058552664,-0.058552661,-0.065104373,-0.242598706,-0.07656853,-0.097503239,-0.084043185,-0.183961782,-0.076591488
92,288,optionshouse,-0.058509367,-0.058509364,-0.05907608,0,0.139806031,-0.083399652,-0.051919538,-0.082889531,0.080125397
93,1310,rayovac,-0.05742567,-0.057425667,-0.07615758,-0.189529912,-0.111552748,-0.013432353,-0.012576386,-0.106405653,-0.036757456
94,86,lee,-0.057191431,-0.057191428,-0.09465823,-0.208787305,-0.175325676,0.016852489,-0.014249334,-0.218709901,-0.196659575
95,207,revo,-0.055819689,-0.055819686,-0.063328999,-0.149241302,-0.080744114,-0.099607688,-0.111702886,-0.086323033,-0.038207938
96,1171,kontrolfreek,-0.05567589,-0.055675887,-0.017439289,0,0.175794957,0.074643232,0.102832061,-0.125472212,0.067919839
97,971,budweiser,-0.055235935,-0.055235932,-0.011375294,-0.159627021,0.10953449,-0.115875409,-0.054593797,-0.178238093,0.101428942
98,1148,coleman,-0.055049097,-0.055049094,-0.024863816,-0.253730519,-0.077102636,-0.091728369,-0.059302646,-0.220271029,-0.053884743
99,761,instone,-0.054767228,-0.054767225,-0.124733696,-0.160521616,-0.112742209,0.020741143,-0.051294955,-0.130737867,-0.074236919
100,511,designa,-0.054188822,-0.054188819,-0.112777452,0,0.118987173,-0.020623031,0.012828375,0.067237273,0.153849694
101,331,rabobank,-0.053762587,-0.053762585,-0.055787727,-0.194315531,-0.066288026,-0.081104941,-0.042861242,-0.13061455,-0.019900242
