category,Sample Size,Word2Vec_alignment,Word2Vec_alignment_std,Word2Vec_resid_alignment,Word2Vec_resid_alignment_std,Wikipedia_alignment,Wikipedia_alignment_std,Wikipedia_resid_alignment,Wikipedia_resid_alignment_std,Glove_alignment,Glove_alignment_std,Glove_resid_alignment,Glove_resid_alignment_std
advertising marketing printing services,37,0.03248784320486291,0.0601715773630742,-0.022832603715062048,0.05572381423602608,-0.12279942340018904,0.05750633085017845,-0.039096700042785995,0.052569147773026084,-0.010599335329744955,0.06072623485248243,0.025122016837866024,0.047341683460306004
amusement water theme parks,2,0.05993006321608607,0.0018154700636310677,0.04836101461272671,0.0010403535321849755,-0.10354820664066833,0.016009227817205,0.07049278496882816,0.04610491222120695,0.03390182460304385,0.029940540364922316,0.01766423749000522,0.030740371311139356
artificial sweeteners,7,0.11424845914651907,0.07625296309933473,0.07951508106912156,0.07496110611841568,-0.08107452051253229,0.06542312278101485,0.001987718830356387,0.06771602573621403,0.031585434886263204,0.08232065638905503,-0.022415695092889605,0.06717545912728783
automotive batteries,2,0.04001310015182472,0.03117480465661115,0.06270216845671783,0.028754062300705416,-0.12051401414111901,0.0024149390967053313,0.001029427260136221,0.026469079762576904,-0.003562175373186447,0.02072023280291315,0.06680974632117608,0.008581982486520456
beauty shops,2,0.1297627074418403,0.014395662380103067,-0.06316775459021433,0.06515272704678461,-0.0860683475343194,0.01218586757969796,-0.027634776422681143,0.046406115383154485,0.035411835862335136,0.07893258079097054,-0.09424401013120867,0.057100455893295925
bedding linens,26,0.08897744472164207,0.09083802301154595,-0.07477895453427884,0.0689604990127457,-0.12220229207809499,0.06582861539476458,-0.010681505206200858,0.0565024775520127,0.020928973522658767,0.0922429806120926,-0.10330238297261658,0.060220977078609385
beer ale,57,0.0344122151863397,0.07350091413416483,0.062120737059140445,0.057348010849753904,-0.1392102270367294,0.049699308566931784,0.09325326154519435,0.0320138126240624,-0.018269705216847877,0.07759684878140209,0.03055395120712299,0.057055539582744876
cable television providers systems,1,-0.02127487232109123,,-0.05384414559762619,,-0.14568941784162232,,-0.049251861208146216,,-0.01534070997414175,,-0.018525307727478176,
cameras,17,0.03204416959438181,0.05293600673376813,0.005041464940333174,0.03932420710438152,-0.13485936877970056,0.06397597660281984,-0.015630727129100276,0.059419305147676196,-0.01942225261678909,0.039087375953851825,-0.03132770749847008,0.03091745922084788
candy mints,6,0.08197724809579211,0.0436293274775056,-0.01410610794777054,0.04338469601604094,-0.11975300572568383,0.033367057094465136,0.005816816878324479,0.05248083376000228,-0.005605989734751912,0.07270018949894874,-0.08387876663321875,0.05896720961020227
casual dining restaurants,39,0.04245937742168667,0.07084944390469351,-0.004755663669142682,0.055928662592193944,-0.1339115754083385,0.05320219543771084,-0.035026879196350884,0.057322989652403775,-0.013904989198906766,0.0628376868799321,-0.046748136812059096,0.047653077935015074
cat dog food,8,0.0641149881723375,0.058114009052388574,-0.060381799457014565,0.05872298928865326,-0.08551907475758294,0.0420632873620886,0.05556935670274728,0.025807297560648222,0.02449450576294084,0.05714668135809993,-0.062050557132859535,0.04415576188207174
cereals,2,0.12553293532144205,0.08742464783670803,0.06752303804618423,0.09048114957768878,-0.09067127795813543,0.10634998535951891,0.03408380192612244,0.08425180284649557,0.019064872286584253,0.1208348907895015,-0.019044360786261327,0.11529548556196675
chips nuts popcorn pretzels,11,0.04032073664533061,0.05957302025280015,0.012743836297070288,0.051322095792417304,-0.12039042121267157,0.07825761445064816,0.044955282124697016,0.06361462535043047,0.004561123869458624,0.05436340066740262,-0.015151792799515462,0.04667006273081417
cocoa milk additives,6,0.13425227572309212,0.06391782003308266,0.029784156058691846,0.04666054088257504,-0.10804561608412745,0.09050855279555707,0.005795119365593832,0.07061146661701456,0.0489515147589193,0.05794107781414019,-0.03745297626575388,0.04784263023350771
coffee,14,0.06463506644806535,0.041600144739646135,0.0024045738970497254,0.03900101552936725,-0.12917223254503232,0.052619180037576374,-0.032333375654054274,0.0541265928377534,0.03740769754638183,0.03766008896691533,-0.03234292737278944,0.02994810624720265
coffee donut restaurants,1,0.0642759223412758,,0.02108162470605089,,-0.04871347299567946,,0.04249744754852212,,0.00772820236601365,,-0.035137737692656094,
cold cough sinus asthma remedies,5,0.09034324937466057,0.04401495629878621,0.04392089468385629,0.054882386444793436,-0.12154858717235144,0.024847560707332517,0.005382966509697888,0.04360840427633295,-0.006602039507695652,0.0402282975488381,-0.05526748202720766,0.04041960596376403
cookies crackers,29,0.0853088598124019,0.08493968967292524,-0.03315383431012971,0.06881790466752502,-0.1099951145405283,0.06296280046444848,-0.05594428004158776,0.057999218439178615,0.03476081020306454,0.08323199093758399,-0.06549466116457794,0.05977624881469445
cooking oils,18,0.03725423319193942,0.04747824112598376,-0.07216036852622726,0.03914872672821294,-0.1413871125317527,0.044693537133782955,-0.03267999850712623,0.04512455048269669,0.003827512738922918,0.0759035313210151,-0.08836130842772624,0.05182506859854742
credit cards,27,0.04922674195764434,0.05661228198801504,0.05527705163502157,0.049703563893517495,-0.11445480407428209,0.05783403931683048,0.03917214207588764,0.038984696861347486,-0.004235591699893779,0.05358806135387455,0.021797885202362064,0.042461980003230294
cruise ship travel,18,0.06666797998020085,0.0791080519571359,0.030744227076009253,0.07166380064072905,-0.08735969735532632,0.057434755224233205,0.02021860097833374,0.04831350695940919,0.06286462623025879,0.09059269180165037,0.006120330229786141,0.071260281490559
deodorants antiperspirants,1,0.10621745966868253,,-0.05239913525176641,,-0.13914471961407854,,-0.10834980404303526,,-0.006050885258924485,,-0.07681319970910169,
