,brand,alignment,bert_alignment,residual_bert_alignment
0,everbank,-0.17473946698548148,-0.11109789977548971,-0.11889461937247268
1,greats,-0.1564899573385945,-0.07691565319525784,-0.03981471770087561
2,brothers,-0.1424514455054443,-0.294045021381921,-0.2684860865378157
3,liftmaster,-0.12638196194371906,-0.207990199403931,-0.15961441788027642
4,harpoon,-0.12425969235582945,0.023863927474173777,0.02653908910323618
5,johnson,-0.1216495590362144,-0.1057274808723536,-0.044952271860002044
6,booyah,-0.1208331010025596,-0.02657360650661606,0.02271113860840083
7,rampage,-0.12010300097415676,-0.061083073169715146,-0.3716531982323441
8,reebok,-0.11815865388877154,-0.06029219301954737,0.022450324689610848
9,esp,-0.1130207183957247,-0.06884741084559627,-0.0746930524551867
10,jayco,-0.1088147405799182,-0.07439191138731119,0.0049416773292435285
11,cobra,-0.10740265058831712,-0.04192086161806091,0.01904892153106297
12,daiwa,-0.10653876598562537,-0.039997858227376226,0.014555636924942831
13,bosch,-0.1059515654238335,-0.09547912495967496,-0.029942877543001147
14,awin,-0.10570157206194801,-0.018176427619479074,0.027173873377242058
15,landshark,-0.1009289714107133,-0.04865349908694751,-0.039642641799277706
16,nike,-0.0997718321995113,-0.08310802478390748,-0.011281295967295012
17,jbm,-0.09941712691305356,-0.1304151585635537,-0.1381840941413387
18,mustad,-0.09940628492552853,-0.16721173480925988,-0.08572631928733526
19,marco,-0.0972972743143686,-0.20098340380422852,-0.14924746454525367
20,shimano,-0.09709143981024172,-0.020753296228310195,0.057555872770587296
21,lucchese,-0.09649913386804046,-0.08447297992413899,-0.425631735848063
22,gill,-0.09499989384993753,-0.10681304142590725,-0.02695543207718293
23,wwe,-0.0911888561151609,-0.07571660844785767,-0.01653291824431191
24,pimco,-0.09043983729165088,-0.12838576185981881,-0.08522550824585143
25,vistajet,-0.09039774177705204,-0.056905985400654446,0.020218225118876196
26,invesco,-0.08847369691779124,-0.0455105898490758,0.0028761352158935393
27,emed,-0.08789661102010406,-0.1371133637092318,-0.06326285364094265
28,commsec,-0.08550789693708864,-0.14637524301217014,-0.11183435229133516
29,dav,-0.08516738789854808,-0.18994231108677287,-0.19555589585281974
30,mauisails,-0.08312243114503748,-0.0433601923557891,0.020381519793711257
31,magnum,-0.08155593185149995,-0.12550375866390764,-0.222348755329053
32,multiview,-0.08108804226864344,-0.055737072777849166,-0.008574558330366352
33,jefferies,-0.08055890422192137,-0.12225646821455018,-0.07528816843058951
34,saic,-0.08029476601019843,-0.15552090436439148,-0.15925689148934286
35,uif,-0.08026567270303242,-0.14165173984321497,-0.1512712585907237
36,panchos,-0.07989067426800465,-0.012412889833582557,-0.017227813763484662
37,mavic,-0.0792930937219664,-0.10021622884857577,-0.012137765154175778
38,ecco,-0.07832992321570467,-0.10241577144368177,-0.0589149327351616
39,featherlite,-0.0781710189010129,0.09860588597853687,0.15451759203828658
40,bloomberg,-0.07670386875274257,-0.11522440391495259,-0.08113691525394805
41,leatt,-0.07657451903434527,-0.11524394621356104,-0.026524771374031766
42,hatuey,-0.07623468539263606,-0.0842543804518693,-0.06291636120775884
43,adidas,-0.07610346289998511,-0.09061641764335333,-0.017614585509010912
44,ryobi,-0.07552298339069531,-0.13042421230043888,-0.15027815447358278
45,microgame,-0.0749472850460729,-0.01498480547619016,-0.029096625546430475
46,sandro,-0.07448778315132852,-0.13559180786026392,-0.045442817729802715
47,scott,-0.07447701326235595,-0.1342550205390321,-0.05515868334590761
48,heineken,-0.07401751406169088,-0.02373732031978701,-0.020711811496534387
49,alen,-0.07357992787343126,-0.13298324202292972,-0.14857048201332307
50,allianz,-0.07354809963596542,-0.16464742442475064,-0.13366285700505426
51,synacor,-0.07340269909067937,-0.08942512616122894,-0.04027464629780289
52,supra,-0.07334504713686099,-0.024071571006994613,0.007910808358103698
53,steinlager,-0.07317500481708625,-0.09302891278302344,-0.08156558054205569
54,laff,-0.07234672597311781,-0.07663049880764602,-0.005780202615525075
55,acdelco,-0.07228013542616307,-0.09981030177155337,-0.13760761768337626
56,ifs,-0.07207118178573653,-0.068026520357821,-0.07257559471161004
57,chubbies,-0.07142346255779312,-0.025576776317277134,0.050088251605326956
58,mobius,-0.07086436007107272,-0.1995458110411405,-0.10572999847355578
59,zoom,-0.07081665190609683,-0.015066811282570569,-0.010951648119318976
60,skinner,-0.07057688668777551,-0.11923634801622063,-0.18758850116877082
61,nexcess,-0.07038243626680186,-0.08738848252485788,-0.08719724746686573
62,mariner,-0.06962588116228571,-0.044182437779486106,-0.1304895428050963
63,smith,-0.06950902762332198,-0.15586423278507985,-0.12192155360339468
64,toc,-0.06946701506050458,-0.183172362969431,-0.09935132496017998
65,excalibur,-0.06918861583558314,-0.10742913789160363,-0.16198693085425248
66,bestar,-0.06909800743662596,-0.14455171169268,-0.16389514290408966
67,frabill,-0.06877180116699144,-0.08045427598269914,-0.01890811466258761
68,cenzo,-0.06805799691484085,-0.08580102184687786,-0.2367641246904091
69,scitec,-0.06713586969660656,-0.09425650607018543,-0.11792183258259913
70,gambrinus,-0.06711220551506744,-0.1455962942101191,-0.12394685839547406
71,gurus,-0.06708293363376698,-0.14149693333164326,-0.43200066679642013
72,rawlings,-0.06689211892090083,-0.15143846989821869,-0.04388106979183165
73,furbo,-0.06684860321558456,-0.14405338606995954,-0.07736660242509708
74,dutchmen,-0.0660531534599563,-0.12023267780601175,-0.038215535977682416
75,san,-0.06585505112872223,-0.12137440561531429,-0.14248208618962718
76,shadetree,-0.0656164310784978,-0.040001843783125476,-0.0263507490336575
77,watchfire,-0.06529871301091321,-0.04941548219319393,-0.00279165822795115
78,boneheads,-0.06388651333868559,-0.049112819504822575,-0.06511604463375184
79,obrien,-0.06307402651173502,-0.12961406255945784,-0.017679649981561796
80,gatorade,-0.06217092388320521,-0.04366029547027875,-0.0708071225837947
81,roth,-0.061556332482157236,-0.11034748597837762,-0.2570242530916811
82,axion,-0.06135021666697911,-0.1641240027792344,-0.14763744275290336
83,aecom,-0.060109953471114835,-0.1452198746998225,-0.16912149480460203
84,lance,-0.05992565733982666,-0.15704723046438085,-0.2003657690708927
85,octopus,-0.05970048457683382,-0.004931980746797144,0.01998653394809611
86,laird,-0.05961281860329005,-0.29049508762291176,-0.20592129943163437
