,BRAND,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
2,adidas,A141 Sportswear & Athleticwear,0,0,0,1,0,0,3,0,2,0,6,1,1,0,1,0
16,alias,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,0,0,0,5,1,1,0,1,0
20,alpinestars,A141 Sportswear & Athleticwear,0,0,0,1,0,3,4,0,2,0,11,2,1,0,2,0
28,arcteryx,A141 Sportswear & Athleticwear,0,0,0,0,0,3,2,0,1,0,8,0,1,0,1,0
33,asics,A141 Sportswear & Athleticwear,0,0,0,1,0,0,2,0,0,0,5,2,1,0,1,0
35,assos,A141 Sportswear & Athleticwear,0,0,0,1,0,0,2,0,0,0,5,3,1,0,0,1
37,athleta,A141 Sportswear & Athleticwear,1,0,0,0,0,1,3,0,2,1,7,1,1,0,1,0
42,biink,A141 Sportswear & Athleticwear,0,1,0,0,0,1,2,1,2,0,5,0,0,0,2,0
43,billabong,A141 Sportswear & Athleticwear,0,1,1,0,0,3,3,1,3,0,9,0,0,0,1,1
52,boathouse,A141 Sportswear & Athleticwear,0,0,0,0,0,0,5,1,2,1,9,2,0,0,1,2
53,bogner,A141 Sportswear & Athleticwear,0,0,1,0,0,2,2,1,2,0,6,0,0,0,1,1
56,calia,A141 Sportswear & Athleticwear,1,0,0,0,0,1,3,0,0,1,5,0,0,0,1,0
63,compressport,A141 Sportswear & Athleticwear,0,1,0,0,0,3,3,0,3,0,12,2,0,0,1,2
65,converse,A141 Sportswear & Athleticwear,0,0,0,0,0,2,3,0,0,1,8,2,0,0,2,1
66,cortech,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,0,1,0,7,1,0,0,1,1
