,Unnamed: 0,BRAND,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
694,12587,aacsb,"B322 Religious, Charitable & Humanitarian",0,1,0,0,0,0,2,0,1,0,5,1,1,0,0,0
511,4980,aafmaa,B124 Loan/Credit Products & Services (Consumer),1,0,0,0,0,1,4,0,0,1,6,1,1,0,0,0
381,2622,aarp,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,1,2,0,1,0,4,0,1,0,0,0
1555,24013,abbotts,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,1,0,0,2,0,4,0,7,1,1,0,0,1
776,16366,abc,"B641 TV Networks, Stations & Production Cos",0,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0
382,2625,aberdeen,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,4,0,2,0,8,0,1,0,2,0
1965,26428,abound,G613 Cat & Dog Food Combination,0,1,0,0,0,1,3,0,2,0,6,0,1,0,0,1
1623,24324,abuelita,F413 Cocoa & Milk Additives,1,0,0,0,0,1,5,0,2,1,8,0,1,0,2,1
1762,25064,abuelos,G323 Casual Dining Restaurants,0,0,0,1,0,1,4,0,1,0,7,1,1,0,1,2
593,8835,accesswire,B225 Internet Service Providers (ISP),0,0,0,0,0,2,4,0,0,1,10,2,1,0,3,0
979,20751,accuform,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,0,1,0,0,2,3,0,0,0,8,1,1,0,0,2
1178,22555,acculevel,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",0,0,1,0,0,2,4,0,0,0,9,1,1,0,2,1
2175,27046,acdelco,H310 Household Batteries,0,0,0,0,0,1,3,0,1,1,7,0,1,0,1,1
718,15775,acer,B511 Desktop Computers,0,0,1,0,0,1,2,0,0,0,4,0,1,0,1,0
1821,25738,acme,G411 Fishing Tackle & Equipment,0,0,0,0,0,1,2,0,0,1,4,0,1,0,1,0
2089,26802,acteon,H142 Bedding & Linens,0,0,1,0,0,1,3,0,1,0,6,0,1,0,1,1
1509,23891,adams,F280 Peanut Butter & Sandwich Spreads,0,0,0,1,0,1,2,0,1,0,5,1,1,0,0,0
1966,26429,addiction,G613 Cat & Dog Food Combination,0,0,1,0,0,1,4,0,3,0,9,0,1,0,2,1
0,2,adidas,A141 Sportswear & Athleticwear,0,0,0,1,0,0,3,0,2,0,6,1,1,0,1,0
818,17944,admonsters,"B651 Advertising, Marketing & Printing Svcs",0,0,0,1,0,3,3,0,2,0,10,2,1,0,1,1
819,17945,admore,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,2,3,0,1,1,6,0,1,0,1,1
2222,27219,adt,H625 Security & Fire Safety Systems,0,1,0,0,0,0,1,0,2,0,3,0,1,0,0,0
820,17961,adtheorent,"B651 Advertising, Marketing & Printing Svcs",0,1,0,0,0,2,4,0,3,0,10,1,1,0,2,1
719,15780,advantech,B511 Desktop Computers,0,0,0,1,0,1,3,0,2,0,9,2,1,0,1,0
1202,22632,advantedge,D543 Nutritional Supplements,0,0,0,1,0,1,4,0,4,1,10,1,1,0,2,0
821,17972,advertex,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,1,3,0,2,0,8,1,1,0,2,0
1160,22467,advil,D511 Pain Remedies,0,0,1,0,0,1,2,0,1,0,5,1,1,0,1,0
417,3202,advisorworld,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,4,4,0,2,0,12,2,1,0,1,2
1203,22633,advocare,D543 Nutritional Supplements,0,0,0,0,0,1,4,0,1,1,8,1,1,0,1,1
545,7342,aecom,B124 Loan/Credit Products & Services (Consumer),0,0,1,0,0,1,3,0,0,0,5,0,1,0,1,1
2434,30375,aesthetispa,V131 Beauty Shops,1,0,0,0,0,0,5,0,3,1,11,3,1,0,3,0
822,17981,affiliaxe,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,1,5,0,0,1,9,2,1,0,3,0
777,16479,aflac,"B641 TV Networks, Stations & Production Cos",0,0,0,0,0,1,2,0,0,0,5,1,1,0,0,0
1907,25999,afp,G499 Sporting Goods General Promotion,0,1,0,0,0,0,1,0,1,0,3,1,1,0,0,0
69,265,aftco,A141 Sportswear & Athleticwear,0,0,0,0,0,0,2,0,1,1,5,1,1,0,0,1
2022,26618,agility,H122 Mattresses & Box Springs,0,0,0,0,0,2,3,0,2,1,7,0,1,0,3,0
1039,21844,ahava,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",1,0,0,0,0,0,3,0,0,1,5,1,1,0,0,0
2396,27811,aida,T412 Cruise Ship Travel,1,0,0,0,0,0,3,0,1,1,4,0,1,0,1,0
567,7797,aig,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,0,0,2,0,1,0,3,0,1,0,1,0
932,20633,aip,B721 Office Furniture & Accessories,0,1,0,0,0,0,2,0,1,0,3,0,1,0,1,0
1204,22639,airborne,D543 Nutritional Supplements,0,0,0,0,0,3,4,0,1,1,8,0,1,0,2,1
2023,26620,aireloom,H122 Mattresses & Box Springs,0,0,1,0,0,3,5,0,0,0,8,0,1,0,2,1
2223,27225,airgas,H625 Security & Fire Safety Systems,0,0,0,1,0,1,3,0,1,0,6,1,1,0,1,0
2329,27568,airinum,H625 Security & Fire Safety Systems,0,0,1,0,0,3,4,0,0,0,7,0,1,0,2,1
2372,27734,airstream,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",0,0,1,0,0,3,4,0,1,0,9,1,1,0,2,0
594,8836,airtel,B225 Internet Service Providers (ISP),0,0,1,0,0,2,3,0,1,0,6,0,1,0,2,0
1908,26000,airtrackfactoryus,G499 Sporting Goods General Promotion,0,0,0,1,0,4,6,0,3,0,17,2,1,0,1,2
2090,26803,airweave,H142 Bedding & Linens,0,0,0,0,0,2,5,0,0,1,8,1,1,0,3,0
255,1305,akris,A411 Handbags,0,0,0,1,0,1,2,0,1,0,5,1,1,0,1,0
595,8837,alcatel,B225 Internet Service Providers (ISP),0,0,1,0,0,2,3,0,1,0,7,0,1,0,1,0
150,700,aldo,A311 Womens Shoes & Boots,0,0,0,0,0,1,2,0,1,1,4,0,1,0,0,1
151,701,alegria,A311 Womens Shoes & Boots,1,0,0,0,0,2,4,0,1,1,7,0,1,0,2,0
1205,22649,alen,D543 Nutritional Supplements,0,0,1,0,0,2,2,0,0,0,4,0,1,0,1,0
1474,23808,alessi,F122 Cooking Oils,0,0,0,0,0,1,3,0,0,1,6,2,1,0,2,0
1161,22477,aleve,D511 Pain Remedies,0,0,0,0,0,1,3,0,0,1,5,1,1,0,2,0
1,16,alias,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,0,0,0,5,1,1,0,1,0
720,15781,alienware,B511 Desktop Computers,0,0,0,0,0,4,5,0,0,1,9,0,1,0,2,0
1206,22650,align,D543 Nutritional Supplements,0,0,1,0,0,2,2,0,1,0,5,0,1,0,1,0
2421,28122,alitalia,T421 Travel Services,1,0,0,0,0,2,5,0,1,1,8,0,1,0,2,0
1207,22655,alkamind,D543 Nutritional Supplements,0,1,0,0,0,3,3,0,2,0,8,0,1,0,1,0
152,704,allbirds,A311 Womens Shoes & Boots,0,0,0,1,0,3,2,0,2,0,8,1,1,0,1,0
2091,26806,allerease,H142 Bedding & Linens,0,0,0,0,0,3,5,0,0,1,9,1,1,0,3,0
383,2630,alliancebernstein,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,6,7,0,2,0,17,1,1,0,4,0
418,3205,allianz,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,3,3,0,0,0,7,1,1,0,1,0
1162,22483,alliviax,D511 Pain Remedies,0,0,0,0,0,2,4,0,0,0,8,1,1,0,2,0
933,20635,alloyfold,B721 Office Furniture & Accessories,0,1,0,0,0,4,3,0,1,0,9,1,1,0,0,2
2024,26621,allswell,H122 Mattresses & Box Springs,0,0,1,0,0,5,2,0,0,0,8,1,1,0,1,0
2,20,alpinestars,A141 Sportswear & Athleticwear,0,0,0,1,0,3,4,0,2,0,11,2,1,0,2,0
384,2640,alps,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,1,1,0,1,0,4,1,1,0,0,0
215,969,altra,A321 Sneakers,1,0,0,0,0,2,2,0,1,1,5,0,1,0,0,0
1656,24416,altstadt,F611 Regular Beer & Ale,0,1,0,0,0,1,2,0,4,0,8,1,1,0,0,0
2224,27232,alula,H625 Security & Fire Safety Systems,1,0,0,0,0,2,3,0,0,1,5,0,1,0,0,1
1824,25743,alutecnos,G411 Fishing Tackle & Equipment,0,0,0,1,0,2,4,0,1,0,9,1,1,0,1,2
431,3335,alvexo,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,3,0,0,1,6,1,1,0,1,1
596,8840,alyrica,B225 Internet Service Providers (ISP),1,0,0,0,0,3,3,0,0,1,7,0,1,0,1,0
153,705,amalfi,A311 Womens Shoes & Boots,0,0,0,0,0,2,3,0,0,1,6,1,1,0,1,0
2225,27234,amaryllo,H625 Security & Fire Safety Systems,0,0,0,0,0,5,3,0,0,1,8,0,1,0,0,1
721,15788,amax,B511 Desktop Computers,0,0,0,0,0,1,2,0,0,0,4,0,1,0,0,0
1702,24685,amberbock,F611 Regular Beer & Ale,0,1,0,0,0,2,3,0,3,0,9,0,1,0,1,1
1208,22669,amberen,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,1,0,7,0,1,0,2,0
2226,27235,amcrest,H625 Security & Fire Safety Systems,0,1,0,0,0,2,2,0,1,0,7,1,1,0,1,0
2435,30403,amerejuve,V131 Beauty Shops,0,0,0,0,0,2,5,0,0,1,9,2,1,0,3,1
2025,26623,america,H122 Mattresses & Box Springs,1,0,0,0,0,2,4,0,0,1,7,0,1,0,2,0
1410,23561,americell,D543 Nutritional Supplements,0,0,1,0,0,4,4,0,0,0,9,0,1,0,3,0
385,2650,ameritrade,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,3,5,0,2,1,10,0,1,0,3,0
696,13008,amica,B430 Insurance Agencies & Brokers,1,0,0,0,0,1,3,0,0,1,5,0,1,0,1,0
1209,22672,aminocore,D543 Nutritional Supplements,0,0,0,0,0,3,5,0,0,1,9,0,1,0,2,2
1040,21847,amlactin,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,1,0,0,3,3,0,1,0,8,0,1,0,1,0
546,7351,amone,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,2,3,0,0,1,5,0,1,0,1,1
1210,22674,amplivida,D543 Nutritional Supplements,1,0,0,0,0,2,4,0,2,1,9,1,1,0,2,0
481,4308,amr,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,1,0,0,0,3,0,1,0,0,0
1657,24417,amstel,F611 Regular Beer & Ale,0,0,1,0,0,2,2,0,1,0,6,1,1,0,1,0
1211,22675,amway,D543 Nutritional Supplements,0,0,0,0,0,3,2,0,0,1,5,0,1,0,1,0
1163,22485,anacin,D511 Pain Remedies,0,0,1,0,0,2,3,0,0,0,6,0,1,0,1,0
732,15876,anajet,B521 Printers & Printing Accessories,0,1,0,0,0,1,3,0,1,0,6,1,1,0,1,0
1212,22676,anatabloc,D543 Nutritional Supplements,0,0,0,0,0,2,4,0,2,0,9,0,1,0,0,1
1767,25121,andiamo,G323 Casual Dining Restaurants,0,0,0,0,0,2,4,0,1,1,7,0,1,0,1,1
154,706,andrea,A311 Womens Shoes & Boots,1,0,0,0,0,2,3,0,1,1,6,0,1,0,1,0
2330,27569,anemostat,H625 Security & Fire Safety Systems,0,1,0,0,0,2,4,0,2,0,9,1,1,0,1,1
2227,27241,angee,H625 Security & Fire Safety Systems,0,0,0,0,0,1,3,0,1,1,5,0,1,0,1,0
