Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
greats,A321 Sneakers,neutral,not female,neutral,1:00,M,M,"THROUGHOUT: did not count children, or same people that appeared twice in same picture/clothes. Only counted upper body and/or face, ignored just legs and below. If website had no pictures, ignored. Language inferred from branding in google search (men's brand, women's brand, etc.)",https://www.greats.com/,18-Nov-19
gill,A141 Sportswear & Athleticwear,male,not female,male,4:01,M,M,,https://www.gillmarine.com/us/,18-Nov-19
rampage,A311 Womens Shoes & Boots,female,female,female,0:06,F,F,"name is a noun -> conflicting, plus only sell women's clothing",https://www.rampage.com/,18-Nov-19
reebok,A141 Sportswear & Athleticwear,slight male,slight female,slight female,4:05,F,F,female-focused advertisements,https://www.reebok.com/us,18-Nov-19
adidas,A141 Sportswear & Athleticwear,male,not female,female,5:05,M,M,men first on navigation menu,https://www.adidas.com/us,18-Nov-19
vans,A141 Sportswear & Athleticwear,neutral,not female,neutral,1:01,M,M,"most pictures not fullbody, only counted those + not in gallery (if inlcuded, 8:8)",https://www.vans.com/shop.html,18-Nov-19
roka,A141 Sportswear & Athleticwear,neutral,male,neutral,4:01,M,M,heavily tailored towards active people,https://www.roka.com/,18-Nov-19
lululemon,A141 Sportswear & Athleticwear,neutral,neutral,female,3:06,F,F,#NAME?,https://shop.lululemon.com/,18-Nov-19
quiksilver,A141 Sportswear & Athleticwear,neutral,not female,male,9:01,M,M,,https://www.quiksilver.com/?geopopup=false,18-Nov-19
blundstone,A311 Womens Shoes & Boots,neutral,neutral,neutral,3:03,F,F,,https://www.blundstone.com/,18-Nov-19
gucci,A311 Womens Shoes & Boots,neutral,neutral,female,5:06,F,F,,https://www.gucci.com/us/en/,18-Nov-19
skechers,A311 Womens Shoes & Boots,neutral,neutral,female,2:03,F,F,,https://www.skechers.com/en-us/,18-Nov-19
chubbies,A141 Sportswear & Athleticwear,,,,12:00,M,M,,https://www.chubbiesshorts.com/,7-Jan-20
sandro,A141 Sportswear & Athleticwear,,,,2:01,F,F,"supplementary search showed for women, weighed language more heavily",https://us.sandro-paris.com/,7-Jan-20
lee,A141 Sportswear & Athleticwear,,,,4:05,F,F,,https://www.lee.com/,7-Jan-20
