Original,Corrected,Concise
A141 Sportswear & Athleticwear,A141 Sportswear & Athleticwear,A141 Sportswear & Athleticwear
A311 Womens Shoes & Boots,A311 Women's Shoes & Boots,A311 Women's Shoes & Boots
A321 Sneakers,A321 Sneakers,A321 Sneakers
A411 Handbags,A411 Handbags,A411 Handbags
A430 Sunglasses,A430 Sunglasses,A430 Sunglasses
B111 Credit Cards,B111 Credit Cards,B111 Credit_Cards
B122 Investment Products & Services (Excluding Retirement),B122 Investment Products & Services,B122 Investment Products_or_Services
B124 Loan/Credit Products & Services (Consumer),B124 Loan/Credit Products & Services,B124 Loan/Credit Products_or_Services
B225 Internet Service Providers (ISP),B225 Internet Service Providers,B225 Internet_Service_Providers
B241 Cable TV Providers & Systems,B241 Cable Television Providers & Systems,B241 Cable_Television Providers & Systems
"B322 Religious, Charitable & Humanitarian","B322 Religious, Charitable & Humanitarian","B322 Religious, Charitable & Humanitarian"
B430 Insurance Agencies & Brokers,B430 Insurance Agencies & Brokers,B430 Insurance_Agency & Insurance_Brokers
B511 Desktop Computers,B511 Desktop Computers,B511 Desktop_Computers
B521 Printers & Printing Accessories,B521 Printers & Printing Accessories,B521 Printers & Printing Accessories
"B541 Web Design, Domain & Hosting Services","B541 Web Design, Domain & Hosting Services","B541 Web_Design, Domain & Hosting_Service_Providers"
"B641 TV Networks, Stations & Production Cos","B641 TV Networks, Stations & Production Companies","B641 Television_Network, Television_Stations & Production_Company"
"B651 Advertising, Marketing & Printing Svcs","B651 Advertising, Marketing & Printing Services","B651 Advertising, Marketing & Printing"
B721 Office Furniture & Accessories,B721 Office Furniture & Accessories,B721 Office Furniture & Accessories
"B722 Stationery,Greeting Cards&Misc Paper Gds","B722 Stationery, Greeting Cards & Miscellaneous Paper Goods","B722 Stationery, Greeting_Cards & Miscellaneous Paper Goods"
B913 Employment Agencies,B913 Employment Agencies,B913 Employment Agencies
"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",D119 Skin Care Products,D119 Skin_Care_Products
"D149 Face Makeup, General Promotion/Multi-Category/Corporate/Sponsorship",D149 Face Makeup,D149 Face Makeup
"D181 Women's Scents, Fragrances, Perfumes","D181 Women's Scents, Fragrances, Perfumes","D181 Women's Scents, Fragrances, Perfumes"
"D182 Unisex Scents, Fragrances, Perfumes","D182 Unisex Scents, Fragrances, Perfumes","D182 Unisex_Scent, Unisex_Fragrance, Unisex_Perfume"
"D183 Men's Scents, Fragrances, Aftershaves","D183 Men's Scents, Fragrances, Aftershaves","D183 Men's Scents, Fragrances, Aftershaves"
"D189 Fragrances, General Promotion/Multi-Category/Corporate/Sponsorship",D189 Fragrances,D189 Fragrances
D211 Toothpaste & Whiteners,D211 Toothpaste & Whiteners,D211 Toothpaste & Whiteners
D259 Womens Shaving Supplies General Promotion,D259 Women's Shaving Supplies,D259 Women's Shaving Supplies
D269 Deodorants & Antiperspirants General Promotion,D269 Deodorants & Antiperspirants,D269 Deodorants & Antiperspirants
