,name,category,alignment
1,he,BASELINE,-0.22362855076789856
462,everbank,B124 Loan/Credit Products & Services (Consumer),-0.1532771736383438
681,johnson,G411 Fishing Tackle & Equipment,-0.14647185802459717
563,greats,A321 Sneakers,-0.12768638134002686
197,brothers,G323 Casual Dining Restaurants,-0.12544506788253784
538,gill,A141 Sportswear & Athleticwear,-0.12327805906534195
1085,rampage,A311 Womens Shoes & Boots,-0.11851773411035538
1099,reebok,A141 Sportswear & Athleticwear,-0.1166677176952362
177,booyah,G411 Fishing Tackle & Equipment,-0.1096324473619461
794,marco,"B651 Advertising, Marketing & Printing Svcs",-0.1091490238904953
1222,smith,"G451 Snow Skis, Boards, Blades & Accessories",-0.10511825978755951
928,nike,A141 Sportswear & Athleticwear,-0.10496743768453598
347,daiwa,G411 Fishing Tackle & Equipment,-0.10152912884950638
1453,wwe,"B641 TV Networks, Stations & Production Cos",-0.10143506526947021
757,liftmaster,H625 Security & Fire Safety Systems,-0.10113347321748734
286,cobra,H625 Security & Fire Safety Systems,-0.10103244334459305
585,harpoon,F611 Regular Beer & Ale,-0.10006561130285263
453,esp,B124 Loan/Credit Products & Services (Consumer),-0.09900704771280289
736,landshark,F611 Regular Beer & Ale,-0.09898407012224197
181,bosch,H625 Security & Fire Safety Systems,-0.0985676571726799
1023,pimco,B122 Investment Products & Services (Excluding Retirement),-0.09833130985498428
668,jayco,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",-0.09811922907829285
1167,scott,A141 Sportswear & Athleticwear,-0.0966743603348732
104,awin,"B651 Advertising, Marketing & Printing Svcs",-0.0957409217953682
353,dav,B913 Employment Agencies,-0.09204073250293732
1214,skinner,F259 Pasta & Pasta Dishes General Promotion,-0.0906767025589943
733,lance,F343 Cookies & Crackers,-0.09035353362560272
291,coleman,G499 Sporting Goods General Promotion,-0.08978705108165741
1198,shimano,A141 Sportswear & Athleticwear,-0.08743435144424438
268,chubbies,A141 Sportswear & Athleticwear,-0.08719363063573837
857,miller,F611 Regular Beer & Ale,-0.08690601587295532
