,Unnamed: 0,name,category,alignment,new_alignment
0,1,he,BASELINE,-0.22362855076789856,-0.23826272785663605
1,103,journeyman,BASELINE,-0.16171717643737793,-0.27633562684059143
4,106,burly,BASELINE,-0.13882780075073242,-0.20747828483581543
8,104,cocky,BASELINE,-0.11887727677822113,-0.13369940221309662
11,102,genius,BASELINE,-0.11469217389822005,-0.17991186678409576
14,90,firepower,BASELINE,-0.10596601665019988,-0.1384255588054657
15,36,firepower,BASELINE,-0.10596601665019988,-0.1384255588054657
18,19,boyhood,BASELINE,-0.10431799292564392,-0.24923065304756165
19,98,drafted,BASELINE,-0.10260330885648727,-0.19862841069698334
53,86,game,BASELINE,-0.08018702268600464,-0.1701747477054596
61,117,guru,BASELINE,-0.07680493593215942,-0.11182814091444016
66,35,tactical,BASELINE,-0.07602401077747345,-0.17316243052482605
67,89,tactical,BASELINE,-0.07602401077747345,-0.17316243052482605
69,18,nephew,BASELINE,-0.07576163858175278,-0.08787102997303009
71,112,priest,BASELINE,-0.07570838183164598,-0.017102085053920746
72,40,priest,BASELINE,-0.07570838183164598,-0.017102085053920746
81,12,boys,BASELINE,-0.07260868698358536,0.05408839136362076
99,93,hoped,BASELINE,-0.06554940342903137,-0.035308342427015305
106,17,sons,BASELINE,-0.06415663659572601,-0.006625390145927668
107,97,builder,BASELINE,-0.0639960989356041,-0.10731624811887741
121,105,buddy,BASELINE,-0.06116894632577896,-0.16641704738140106
126,111,firmly,BASELINE,-0.060087695717811584,-0.041683491319417953
127,94,scrimmage,BASELINE,-0.06008072942495346,-0.11942150443792343
131,101,brilliant,BASELINE,-0.058849535882472985,-0.10944999754428864
132,43,lamb,BASELINE,-0.0583806224167347,0.1282581090927124
137,109,mate,BASELINE,-0.05599414929747582,-0.12609975039958954
247,23,governor,BASELINE,-0.03468317911028862,0.04642290249466896
258,39,brass,BASELINE,-0.032857120037078864,-0.09250527620315552
261,22,frost,BASELINE,-0.03215504437685013,0.0882585272192955
271,14,cousin,BASELINE,-0.02995634451508522,0.011648900806903839
281,38,hay,BASELINE,-0.028103793039917942,-0.02166713774204254
290,110,rule,BASELINE,-0.026800481602549556,-0.09509262442588806
301,85,commit,BASELINE,-0.024651387706398964,-0.10243603587150574
302,33,commit,BASELINE,-0.024651387706398964,-0.10243603587150574
321,116,ties,BASELINE,-0.02256294153630733,-0.06869347393512726
323,32,heavy,BASELINE,-0.022388877347111702,-0.03372841700911522
358,113,friend,BASELINE,-0.016677169129252434,0.058204762637615204
361,81,caused,BASELINE,-0.01645516790449619,-0.0009611782152205706
422,79,seconds,BASELINE,-0.008290594443678856,-0.008980722166597843
430,65,oils,BASELINE,-0.00758857000619173,0.10987548530101776
441,84,clip,BASELINE,-0.006640875246375799,-0.043308451771736145
443,61,steals,BASELINE,-0.005558372009545565,0.10942025482654572
448,107,beard,BASELINE,-0.0049263015389442435,-0.20908118784427643
469,99,trips,BASELINE,-0.002484478522092104,-0.027886180207133293
480,108,buddies,BASELINE,-0.0012853640364483,-0.14931665360927582
503,8,daddy,BASELINE,0.0011604598257690668,0.08437106758356094
515,87,slow,BASELINE,0.0025236441288143396,-0.04227548465132713
524,16,lad,BASELINE,0.0033980193547904487,-0.11715500801801682
551,95,looks,BASELINE,0.005509259644895792,0.001853521796874702
553,59,nuclear,BASELINE,0.0059219603426754475,0.025654079392552376
594,100,yard,BASELINE,0.008904033340513706,-0.05099741369485855
618,76,reading,BASELINE,0.010885017924010755,0.10286939889192581
628,88,arrival,BASELINE,0.011788628064095974,-0.11297489702701569
629,34,arrival,BASELINE,0.011788628064095974,-0.11297489702701569
669,77,sites,BASELINE,0.016789492219686508,0.0637490376830101
677,78,records,BASELINE,0.01742788590490818,0.02769402228295803
688,51,cold,BASELINE,0.01797850430011749,0.06726823002099991
696,72,credits,BASELINE,0.01897929422557354,0.02680261619389057
725,71,user,BASELINE,0.02074633352458477,0.08771171420812607
741,49,regional,BASELINE,0.0215320885181427,0.03880069777369499
743,91,reel,BASELINE,0.021777531132102013,-0.0678970217704773
745,4,fiancee,BASELINE,0.02186938188970089,0.12536361813545227
761,62,effect,BASELINE,0.023501977324485782,0.045772384852170944
799,15,chap,BASELINE,0.02783629298210144,-0.08873142302036285
806,44,folks,BASELINE,0.028472021222114563,0.07299894839525223
854,96,zeal,BASELINE,0.032355401664972305,-0.041446395218372345
862,31,subject,BASELINE,0.0335676334798336,0.029843371361494064
872,58,firms,BASELINE,0.034661408513784416,0.03766706585884094
875,7,wife,BASELINE,0.034773677587509155,0.15096767246723175
905,37,drop,BASELINE,0.03807076811790466,-0.022848935797810555
906,92,drop,BASELINE,0.03807076811790466,-0.022848935797810555
915,80,parts,BASELINE,0.03876693174242973,0.019164208322763443
991,75,tote,BASELINE,0.04659226909279823,0.14763453602790833
1023,63,self,BASELINE,0.05044551193714142,0.0805123820900917
1026,115,seeking,BASELINE,0.05079450830817223,-0.010532407090067863
1073,83,busy,BASELINE,0.056049611419439316,0.08352740108966827
1094,114,voters,BASELINE,0.05796372517943382,0.027729948982596397
1106,82,housing,BASELINE,0.05868815630674362,0.08401533961296082
1110,52,tearful,BASELINE,0.05919092893600464,0.18343934416770935
1114,11,dads,BASELINE,0.0596369095146656,0.09605058282613754
1155,10,witches,BASELINE,0.06462796777486801,0.17778892815113068
1177,64,gel,BASELINE,0.06723657250404358,0.024881398305296898
1208,42,dancer,BASELINE,0.07254601269960402,0.21554654836654663
1276,68,ultrasound,BASELINE,0.08325975388288498,0.17205984890460968
1278,25,lust,BASELINE,0.08362725377082825,0.09435205161571503
1291,24,thighs,BASELINE,0.0856131762266159,0.1522705852985382
1310,74,browsing,BASELINE,0.09062287956476213,0.15591849386692047
1318,45,vases,BASELINE,0.09192316979169846,0.13541139662265778
1323,73,crafts,BASELINE,0.09270202368497847,0.1562126725912094
1326,41,babe,BASELINE,0.09346172958612442,0.27336063981056213
1344,28,dance,BASELINE,0.09849507361650467,0.16831979155540466
1346,50,cow,BASELINE,0.09934832155704497,0.11605715751647949
1348,57,divorce,BASELINE,0.09948305785655977,0.13745328783988953
1421,13,witch,BASELINE,0.11828591674566268,0.27081072330474854
1433,29,cake,BASELINE,0.12250129133462904,0.11819611489772797
1452,66,modeling,BASELINE,0.12899163365364075,0.28332948684692383
1453,30,treats,BASELINE,0.12908470630645752,0.09692879766225815
1455,67,beautiful,BASELINE,0.1302047222852707,0.21075737476348877
1465,70,tanning,BASELINE,0.13488353788852692,0.18202418088912964
1513,48,pearls,BASELINE,0.1660904884338379,0.2078382968902588
1515,53,nurses,BASELINE,0.16870316863059998,0.22755780816078186
1521,27,dress,BASELINE,0.1738603413105011,0.2377181202173233
1529,54,salon,BASELINE,0.18129996955394745,0.29062968492507935
1533,9,gals,BASELINE,0.1821115165948868,0.3000470995903015
1544,2,ladies,BASELINE,0.1937274634838104,0.33672016859054565
1545,55,pageant,BASELINE,0.1941843032836914,0.3398986756801605
