,0,1
0,Name,Category
1,alpinestars,A141 Sportswear & Athleticwear
2,arcteryx,A141 Sportswear & Athleticwear
3,billabong,A141 Sportswear & Athleticwear
4,boathouse,A141 Sportswear & Athleticwear
5,dicorpo,A141 Sportswear & Athleticwear
6,flagpole,A141 Sportswear & Athleticwear
7,intelliskin,A141 Sportswear & Athleticwear
8,isadore,A141 Sportswear & Athleticwear
9,liftatics,A141 Sportswear & Athleticwear
10,liquido,A141 Sportswear & Athleticwear
11,mavic,A141 Sportswear & Athleticwear
12,onzie,A141 Sportswear & Athleticwear
13,pactimo,A141 Sportswear & Athleticwear
14,roxy,A141 Sportswear & Athleticwear
15,ryderwear,A141 Sportswear & Athleticwear
16,saucony,A141 Sportswear & Athleticwear
17,shimano,A141 Sportswear & Athleticwear
18,speedo,A141 Sportswear & Athleticwear
19,stio,A141 Sportswear & Athleticwear
20,sugoi,A141 Sportswear & Athleticwear
21,vuori,A141 Sportswear & Athleticwear
22,aftco,A141 Sportswear & Athleticwear
23,bugatchi,A141 Sportswear & Athleticwear
24,caliber,A141 Sportswear & Athleticwear
25,chubbies,A141 Sportswear & Athleticwear
26,cromwell,A141 Sportswear & Athleticwear
27,garanimals,A141 Sportswear & Athleticwear
28,grayers,A141 Sportswear & Athleticwear
29,greenco,A141 Sportswear & Athleticwear
30,kelto,A141 Sportswear & Athleticwear
31,kerusso,A141 Sportswear & Athleticwear
32,lacoste,A141 Sportswear & Athleticwear
33,lapco,A141 Sportswear & Athleticwear
34,lawphrases,A141 Sportswear & Athleticwear
35,levelwear,A141 Sportswear & Athleticwear
36,munsingwear,A141 Sportswear & Athleticwear
37,oodji,A141 Sportswear & Athleticwear
38,sandro,A141 Sportswear & Athleticwear
39,tailorbyrd,A141 Sportswear & Athleticwear
40,valentino,A141 Sportswear & Athleticwear
41,wrangler,A141 Sportswear & Athleticwear
42,aldo,A311 Womens Shoes & Boots
43,allbirds,A311 Womens Shoes & Boots
44,bearpaw,A311 Womens Shoes & Boots
45,bernardo,A311 Womens Shoes & Boots
46,blundstone,A311 Womens Shoes & Boots
47,chaco,A311 Womens Shoes & Boots
48,chellysun,A311 Womens Shoes & Boots
49,chloe,A311 Womens Shoes & Boots
50,clarks,A311 Womens Shoes & Boots
51,dansko,A311 Womens Shoes & Boots
52,gucci,A311 Womens Shoes & Boots
53,impo,A311 Womens Shoes & Boots
54,jambu,A311 Womens Shoes & Boots
55,keds,A311 Womens Shoes & Boots
56,khombu,A311 Womens Shoes & Boots
57,latigo,A311 Womens Shoes & Boots
58,lucchese,A311 Womens Shoes & Boots
59,nisolo,A311 Womens Shoes & Boots
60,olukai,A311 Womens Shoes & Boots
61,privo,A311 Womens Shoes & Boots
62,socofy,A311 Womens Shoes & Boots
63,sporto,A311 Womens Shoes & Boots
64,testoni,A311 Womens Shoes & Boots
65,valentino,A311 Womens Shoes & Boots
66,vionic,A311 Womens Shoes & Boots
67,ecco,A321 Sneakers
68,enko,A321 Sneakers
69,keds,A321 Sneakers
70,kuru,A321 Sneakers
71,lacoste,A321 Sneakers
72,lalo,A321 Sneakers
73,mephisto,A321 Sneakers
74,merrell,A321 Sneakers
75,montrail,A321 Sneakers
76,saucony,A321 Sneakers
77,sporto,A321 Sneakers
78,vasque,A321 Sneakers
79,vionic,A321 Sneakers
80,botkier,A411 Handbags
81,burberry,A411 Handbags
82,cccxxxlll,A411 Handbags
83,cenzo,A411 Handbags
84,chloe,A411 Handbags
85,couture,A411 Handbags
86,ecco,A411 Handbags
87,etro,A411 Handbags
88,gucci,A411 Handbags
89,hobo,A411 Handbags
90,mango,A411 Handbags
91,moschino,A411 Handbags
92,tumi,A411 Handbags
93,valentino,A411 Handbags
94,burberry,A430 Sunglasses
95,covry,A430 Sunglasses
96,foldies,A430 Sunglasses
97,gucci,A430 Sunglasses
98,revo,A430 Sunglasses
99,serengeti,A430 Sunglasses
100,speedo,A430 Sunglasses
101,truedark,A430 Sunglasses
102,valentino,A430 Sunglasses
103,vogue,A430 Sunglasses
104,barclaycard,B111 Credit Cards
105,citibanamex,B111 Credit Cards
106,citibank,B111 Credit Cards
107,hbl,B111 Credit Cards
108,sunoco,B111 Credit Cards
109,unionpay,B111 Credit Cards
110,brinks,B111 Credit Cards
111,lsc,B111 Credit Cards
112,metabank,B111 Credit Cards
113,cardcookie,B111 Credit Cards
114,huskypro,B111 Credit Cards
115,lindbergh,B111 Credit Cards
116,itau,B111 Credit Cards
117,aberdeen,B122 Investment Products & Services (Excluding Retirement)
118,alliancebernstein,B122 Investment Products & Services (Excluding Retirement)
119,cboe,B122 Investment Products & Services (Excluding Retirement)
120,edvest,B122 Investment Products & Services (Excluding Retirement)
121,evergreen,B122 Investment Products & Services (Excluding Retirement)
122,morningstar,B122 Investment Products & Services (Excluding Retirement)
123,pimco,B122 Investment Products & Services (Excluding Retirement)
124,serenityshares,B122 Investment Products & Services (Excluding Retirement)
125,streetshares,B122 Investment Products & Services (Excluding Retirement)
126,symm,B122 Investment Products & Services (Excluding Retirement)
127,allianz,B122 Investment Products & Services (Excluding Retirement)
128,annuitydiscovery,B122 Investment Products & Services (Excluding Retirement)
129,prudential,B122 Investment Products & Services (Excluding Retirement)
130,collegechoice,B122 Investment Products & Services (Excluding Retirement)
131,upromise,B122 Investment Products & Services (Excluding Retirement)
132,alvexo,B122 Investment Products & Services (Excluding Retirement)
133,marketaxess,B122 Investment Products & Services (Excluding Retirement)
134,nadex,B122 Investment Products & Services (Excluding Retirement)
135,optionshouse,B122 Investment Products & Services (Excluding Retirement)
136,tradepmr,B122 Investment Products & Services (Excluding Retirement)
137,tradeweb,B122 Investment Products & Services (Excluding Retirement)
138,tradovate,B122 Investment Products & Services (Excluding Retirement)
139,wefunder,B122 Investment Products & Services (Excluding Retirement)
140,zulutrade,B122 Investment Products & Services (Excluding Retirement)
141,barings,B122 Investment Products & Services (Excluding Retirement)
142,brightplan,B122 Investment Products & Services (Excluding Retirement)
143,citibank,B122 Investment Products & Services (Excluding Retirement)
144,commsec,B122 Investment Products & Services (Excluding Retirement)
145,finhabits,B122 Investment Products & Services (Excluding Retirement)
146,forex,B122 Investment Products & Services (Excluding Retirement)
147,goldmoney,B122 Investment Products & Services (Excluding Retirement)
148,raiffeisenbank,B122 Investment Products & Services (Excluding Retirement)
149,westex,B122 Investment Products & Services (Excluding Retirement)
150,citigroup,B122 Investment Products & Services (Excluding Retirement)
151,fundrise,B122 Investment Products & Services (Excluding Retirement)
152,amr,B122 Investment Products & Services (Excluding Retirement)
153,carax,B122 Investment Products & Services (Excluding Retirement)
