,brand,residual_alignment,alignment
669,sensu,-0.26874345137499167,-0.04370540622518154
177,cenzo,-0.23841271651557666,-0.06805799691484085
191,mcm,-0.22687090845689944,-0.033682990016228334
193,roth,-0.21828689655993938,-0.061556332482157236
35,reebok,-0.19809646522801946,-0.11815865388877156
195,spartina,-0.1956548671763583,-0.02313907330295553
1193,baccarat,-0.18663301366968782,-0.049536481992074215
146,rampage,-0.18416667181051716,-0.12010300097415677
333,everbank,-0.18075434596630677,-0.17473946698548148
670,uomo,-0.17933284351788847,0.08192595820174756
1268,cleanbrands,-0.17778713177220917,0.022006940109394774
1199,gibson,-0.17769317228174752,-0.04610600065001519
1288,surefit,-0.17411824819650398,0.021693562272885387
31,nike,-0.17139815869441677,-0.0997718321995113
1285,sferra,-0.16992034126116912,-0.014808439790826088
172,bandolier,-0.16896583665264087,0.10553064284561042
1261,aquis,-0.16844785718144245,0.0004875183274304397
197,tumi,-0.1656276565286173,0.0298521564718824
1219,stuart,-0.1646413636750434,-0.033562563724258004
138,lucchese,-0.15961960350569615,-0.09649913386804046
184,hobo,-0.15921567152549698,0.02595767173078647
671,venezia,-0.1590573556126863,0.044564148682713606
0,adidas,-0.1584984293570883,-0.07610346289998511
665,blu,-0.15750071417277864,0.031951398898763014
1277,liddell,-0.15731215185051564,-0.03540257746562631
465,nexcess,-0.15397576109875352,-0.07038243626680186
679,bu,-0.15285338761394757,0.005564600367970456
1064,brothers,-0.15236612487181472,-0.1424514455054443
1220,valletta,-0.1522980308464277,-0.04858279173274646
189,mango,-0.1502842715741865,0.05865467844462181
150,sporto,-0.1480831911631279,-0.04791380908349614
840,qualisoy,-0.14673606809487938,-0.009087459480058575
1187,husse,-0.145245555096361,0.056940680911990824
663,australis,-0.145067361391067,0.07415822166926574
381,megapath,-0.14494244789417962,-0.028618761236566002
916,lance,-0.14200370807440418,-0.05992565733982666
680,puig,-0.14121491798272517,0.031239389400822215
664,bijan,-0.14116937716320216,0.06460326529141631
1292,vianney,-0.14109020199266892,-0.032248249223415903
1286,splashpad,-0.14078058641464192,0.07048777060423492
1278,malouf,-0.13990727036029962,-0.010875089637002079
672,osswald,-0.13985803057115748,0.06965797607261531
180,etro,-0.13977904602723745,0.09390709805247659
1324,axion,-0.13967351529496166,-0.06135021666697911
917,mariner,-0.13839812681007935,-0.06962588116228571
1194,bugatti,-0.13817960935976725,-0.016534669969015404
1201,imusa,-0.13546745037978644,-0.0039305460282945265
528,marco,-0.13520098803021985,-0.09729727431436859
715,gatorade,-0.1350070932186745,-0.062170923883205206
1185,freshpet,-0.13478650773841128,0.01965906774179311
1274,encapsys,-0.1344076128566256,0.06833923847669154
40,shimano,-0.13435105699918926,-0.09709143981024171
1222,vietri,-0.13407886101591823,0.02582524626474371
1284,revman,-0.13364623575226753,0.15298924053544818
131,gurus,-0.13289010538837345,-0.06708293363376698
182,frye,-0.1321596852735147,0.082673866034074
382,mweb,-0.13034252108852384,-0.019936753601771898
505,awin,-0.1299777327069323,-0.105701572061948
728,alen,-0.12986356061356427,-0.07357992787343126
1206,mottahedeh,-0.12748641891860454,0.12564327842581063
1184,canidae,-0.12650627976332807,0.014684214129071109
107,aldo,-0.12571663491032053,-0.043137910465919485
761,instone,-0.12473370184773669,-0.054767227757917675
1207,nachtmann,-0.12464490996828004,0.13438864141647683
562,excalibur,-0.12444829234668658,-0.06918861583558314
613,saic,-0.12438912108692798,-0.08029476601019842
1143,smith,-0.12367449828422299,-0.06950902762332198
790,scitec,-0.12319218785179059,-0.06713586969660656
551,synacor,-0.12175132317476979,-0.07340269909067937
1464,microgame,-0.12097939351185819,-0.0749472850460729
534,multiview,-0.12097551797274517,-0.08108804226864344
25,leatt,-0.12080227504668514,-0.07657451903434527
377,htc,-0.12032985328846157,-0.050306153509265136
604,dav,-0.12024983742203575,-0.08516738789854808
833,enzo,-0.11904813115034087,-0.021628641088505485
814,san,-0.11880433647433729,-0.06585505112872223
824,alessi,-0.11870322824017866,-0.016496144433977837
18,gill,-0.11830577192937436,-0.09499989384993753
134,impo,-0.11822196706691758,0.011609768815334109
27,mavic,-0.11654278080804428,-0.0792930937219664
499,wwe,-0.11594304830191775,-0.0911888561151609
803,dymatize,-0.11528508758148942,0.006696737447996776
1275,igloo,-0.11511968694015015,0.01638032003600153
1424,jayco,-0.1146753721195164,-0.1088147405799182
830,catania,-0.11461000104431907,-0.023326192085722095
446,canon,-0.1144810770113974,-0.029446917892537037
773,muscletech,-0.11406449040653799,0.008694871056888983
749,evogen,-0.11401332281926502,-0.03872313288719637
469,zoom,-0.11367466050091854,-0.07081665190609682
870,magnum,-0.11302736226412997,-0.08155593185149995
511,designa,-0.11277745723039603,-0.05418882221203149
61,chubbies,-0.11250076640809678,-0.07142346255779312
847,skinner,-0.1123693409868911,-0.07057688668777551
144,olukai,-0.11232648320606987,0.030357559662228438
832,corto,-0.11149262948216365,-0.0002672638986029128
678,springfield,-0.1112195092444114,0.004082355031191679
535,netseer,-0.11111185219128455,-0.03763984706530874
187,loewe,-0.1108344621489509,0.07912221706637584
1217,stanza,-0.11066423040535664,0.027929206869369286
780,phillips,-0.11045646859254118,-0.0438212374659324
32,puma,-0.11024664137112158,-0.04246150488105236
159,greats,-0.109799923432093,-0.1564899573385945
589,jbm,-0.1094183778915871,-0.09941712691305356
636,ely,-0.10937287361081119,-0.019757736863766404
1462,priv,-0.1092376951912792,0.11958344296696506
1214,precisioncraft,-0.10920483269398845,0.04462227980289731
119,blundstone,-0.10918299432411338,-0.0017160107054151764
349,esp,-0.1090367053185381,-0.1130207183957247
1142,slick,-0.10890585908618541,-0.05180597489190665
842,tunisian,-0.10864634625952987,-0.014877317875044219
1264,bergers,-0.10836413510853588,0.032556219590666555
895,davids,-0.1082291776100833,-0.01681266345334491
97,sandro,-0.10815817019821311,-0.07448778315132853
801,biocell,-0.107741914436942,-0.027537348973843512
384,netx,-0.10758347275213379,-0.016619775818676435
387,octopus,-0.10719362817687664,-0.05970048457683382
731,ascent,-0.10699941666973972,-0.04302043341518071
720,paleo,-0.10664535389936614,-0.04283104320799267
440,cybernet,-0.10630293237764638,-0.058718647190544315
666,boucheron,-0.10573914388059576,0.1357807398603897
554,watchfire,-0.10505863940401097,-0.06529871301091321
786,probiogen,-0.10489933512278382,-0.023275760072985895
104,wrangler,-0.10483187520145137,-0.05862871443374173
152,testoni,-0.10481644647292819,0.01549121718972886
781,phosphatidylserine,-0.10449981909057496,0.01425605462211781
455,videojet,-0.1041386818966141,-0.00620071125283111
137,latigo,-0.10392549936732293,-0.027416298338994637
39,scott,-0.10387515180901834,-0.07447701326235595
1269,coolmax,-0.10348770447665573,0.06229863393348569
660,elf,-0.10347107213987979,-0.017420303521889655
675,latitude,-0.10293468374962159,0.009273535797640335
915,kraft,-0.10276210181235686,0.002369617327554578
812,nutrex,-0.10270873453678335,0.03366197769306871
828,bono,-0.10268219151280282,-0.008816310335101593
560,brewer,-0.10229538181575623,-0.03674183663599141
712,atkins,-0.10192408805448341,-0.013814192389540365
1326,salvo,-0.10190397508358619,0.004498609096361555
366,bos,-0.10156389275333381,-0.04518068618679957
371,directv,-0.10107992751202789,-0.02990879598361014
1063,boneheads,-0.10089476220591326,-0.06388651333868559
607,experis,-0.10089326181875666,-0.019906219160982442
396,slingshot,-0.10043991322722268,-0.03438944732183331
1134,donek,-0.09997476093131986,-0.010825863082620672
1215,riedel,-0.09972886934751116,0.0624900947846174
791,soylent,-0.09963604518364642,-0.0016085365950104288
1282,pinzon,-0.09954043074656319,0.037471189468354024
1192,artland,-0.09935367347483477,0.12930430783631852
559,bdi,-0.09919610093361625,-0.046815536919375164
29,mobius,-0.09888639604347169,-0.07086436007107272
389,otelco,-0.09886022035399891,-0.0373315156942429
487,laff,-0.09782965532333578,-0.07234672597311781
836,marconi,-0.09766841433979362,0.011095350877571922
771,mojo,-0.09744908913355671,-0.026460372006241576
765,kion,-0.09660025835810897,-0.03711373283813581
386,nitco,-0.09651583648016615,-0.022562524727384507
139,mara,-0.09634876688677568,-0.014517081542863117
1228,bestar,-0.09631297495581323,-0.06909800743662596
1289,surya,-0.09592894826270906,0.04537890273515786
634,duduk,-0.09575367747691277,-0.019211226488649615
51,zoot,-0.0956077136465645,-0.05279859313740326
1271,croscill,-0.09516243812746156,0.1581855616132132
654,spectro,-0.0950324846987088,-0.0002873286840108097
772,mri,-0.09486425381350838,0.012984078959932654
504,admore,-0.09482510051579993,-0.03781109011166757
901,loacker,-0.09471368175441706,0.05663386916600868
86,lee,-0.09465823485901503,-0.057191430829844465
24,laird,-0.09433024911798735,-0.059612818603290055
452,leibinger,-0.09394643840998634,-0.011102325110754012
1291,talalay,-0.09357377169392939,0.08245415090262498
174,brahmin,-0.09343245110723503,0.08660341088405796
267,pimco,-0.0928617210722455,-0.09043983729165087
775,neocell,-0.09266828815614556,0.031193570925399275
1270,coyuchi,-0.09231355444894121,0.18200057793042307
375,firstlight,-0.09211048668997154,-0.013295341100555245
516,emerse,-0.09184617890581595,-0.030027414746984088
734,clarisoy,-0.09167028405238534,0.04129594605242755
688,polident,-0.09110087019365073,0.0940697789108559
762,jubi,-0.09107338038001964,0.025711277615052004
373,epix,-0.09102864396801506,-0.04029449229335437
405,viasat,-0.09082978923205312,-0.04039887597568469
537,nielsen,-0.09067304935705317,-0.04347630061716433
798,weider,-0.09031311115438498,-0.007724058134700718
1216,sango,-0.09020402619845769,0.055326836682679154
1200,herend,-0.08994336870489704,0.13035348656950807
897,gamesa,-0.08986453691211338,-0.02121067336688478
686,rembrandt,-0.08969435972384478,0.013993072034108624
918,partners,-0.08933522709065618,-0.001275477710772556
43,spidi,-0.08899166992540491,-0.01639380037551308
1311,ryobi,-0.08878455813768654,-0.07552298339069531
407,vtel,-0.08876156188572357,0.011643089227366588
768,mesomorph,-0.08874407757659858,0.02282078973055135
260,invesco,-0.08871194513622237,-0.08847369691779124
676,polo,-0.08829927828440048,0.04166803568842441
1280,panacea,-0.08820442680770303,0.05759217951616552
1203,libbey,-0.0881645622675391,0.06623625835747711
362,armstrong,-0.08783885980488748,-0.02264901597158528
760,immunocal,-0.08778329435746025,0.05937977479849675
769,mhp,-0.08753410933906745,-0.024548277909362398
297,commsec,-0.08743625890417711,-0.08550789693708864
1202,lenox,-0.08732751576596157,0.06655629427149637
811,natureworks,-0.08723412522758711,0.012828246261240121
1279,northwest,-0.08675887908852616,0.0720012668000525
4,assos,-0.08669778727905124,-0.026799941826791945
763,juven,-0.086627121847531,0.0403124172449959
1263,bassetti,-0.08622601435987702,0.08331533686311694
96,rapala,-0.08621923306843432,-0.05237339735392038
1287,springs,-0.08618718410981424,0.057749717632337105
1422,featherlite,-0.08599045023403198,-0.0781710189010129
787,reaal,-0.08557086792488404,0.042648770625004495
835,goya,-0.08556424625378459,0.019535665337386737
461,domaintools,-0.08555024516149151,-0.002547557849181002
1365,liftmaster,-0.08538428410130763,-0.12638196194371906
12,dainese,-0.08534475101810478,-0.04171139488690344
385,nextstep,-0.08530606504146966,0.04848263664619833
1182,abound,-0.08518789316528663,0.008284280194671142
1398,cobra,-0.08505302818350634,-0.10740265058831713
1218,steuben,-0.08468994871153956,0.07011506894814352
1302,steele,-0.08445720291019046,-0.034379587726427435
464,jaguarpc,-0.08444728555868593,-0.02060230518242816
631,dermacare,-0.08440312822796538,0.03605608911655975
171,akris,-0.08435224508193558,0.16965843087582677
1342,bosch,-0.08426631366153904,-0.1059515654238335
11,cortech,-0.0842222358322931,-0.03144948391773989
1467,mauisails,-0.08415063575716439,-0.08312243114503748
545,radiumone,-0.0838994142727955,-0.020408260657581598
1209,noritake,-0.08388076057765602,0.09255392526499137
753,ghr,-0.08379952245460714,-0.010849374677733961
117,bernardo,-0.0836658025563154,0.0015075460704647471
611,marten,-0.08353836262797694,-0.03530740603397915
1319,reynolds,-0.08348301052935556,-0.012187372987044691
121,chaco,-0.08314529597716469,-0.0015488714550934701
390,plateau,-0.08293697058808845,-0.024596388970679124
1305,acdelco,-0.08261343608236899,-0.07228013542616307
841,spanish,-0.08240681259711258,0.03451772441260793
727,airborne,-0.08237688859313005,-0.007871568680537542
651,roc,-0.08205532307445891,-0.009447644545967013
84,kerusso,-0.08197074198572785,-0.031195204968190338
793,staunch,-0.08178243838576796,-0.013910051553178718
103,vince,-0.081658215332823,-0.046985349501220644
779,performix,-0.08142672780736179,0.0019415834406441186
640,gojo,-0.0809409616604066,0.049509692233374855
