,category,alignment,gender
12,advertising marketing printing services,0.09000000357627869,F
60,amusement water theme parks,0.03099999949336052,F
13,artificial sweeteners,0.02800000086426735,F
4,automotive batteries,-0.04100000113248825,M
5,beauty shops,0.2370000034570694,F
42,bedding linens,0.17900000512599945,F
21,beer ale,-0.10199999809265137,M
49,cable television providers systems,0.07000000029802322,F
56,cameras,0.027000000700354576,F
20,candy mints,0.1379999965429306,F
25,casual dining restaurants,0.054999999701976776,F
54,cat dog food,0.18799999356269836,F
71,cereals,0.050999999046325684,F
1,chips nuts popcorn pretzels,0.028999999165534973,F
15,cocoa milk additives,0.11900000274181366,F
14,coffee,0.07000000029802322,F
2,coffee donut restaurants,0.057999998331069946,F
22,cold cough sinus asthma remedies,0.08799999952316284,F
53,cookies crackers,0.12999999523162842,F
47,cooking oils,0.1589999943971634,F
65,credit cards,-0.017999999225139618,M
8,cruise ship travel,0.05400000140070915,F
11,deodorants antiperspirants,0.1599999964237213,F
34,desktop computers,0.07100000232458115,F
3,dinnerware glassware pottery,0.1770000010728836,F
55,dishwashing detergents,0.13899999856948853,F
61,electronic video games software,-0.028999999165534973,M
26,employment agencies,0.09099999815225601,F
67,face makeup,0.15000000596046448,F
40,fishing tackle equipment,-0.1379999965429306,M
62,fragrances,0.1889999955892563,F
28,handbags,0.2240000069141388,F
43,household batteries,0.026000000536441803,F
66,household paper products,0.12099999934434891,F
17,ice cream frozen novelties sherbet,0.0729999989271164,F
33,insurance agencies brokers,0.04800000041723251,F
39,internet service providers,0.11500000208616257,F
29,investment products services,0.003000000026077032,F
31,laundry equipment,0.08299999684095383,F
41,loan credit products services,0.006000000052154064,F
24,mattresses box springs,0.05900000035762787,F
50,men scents fragrances aftershaves,0.1770000010728836,F
58,mens shaving equipment supplies,0.05999999865889549,F
44,multipurpose cleaners,0.006000000052154064,F
32,nutritional supplements,0.10499999672174454,F
10,office furniture accessories,0.1120000034570694,F
69,pain remedies,0.1120000034570694,F
6,paint,0.05000000074505806,F
63,pasta pasta dishes,0.08399999886751175,F
59,peanut butter sandwich spreads,0.05700000002980232,F
52,printers printing accessories,0.1080000028014183,F
46,religious charitable humanitarian,-0.0020000000949949026,M
51,security fire safety systems,-0.027000000700354576,M
45,skin care products,0.15000000596046448,F
64,sneakers,-0.014999999664723873,M
36,snow skis boards blades accessories,0.09700000286102295,F
16,sporting goods,-0.02500000037252903,M
48,sporting goods stores,0.027000000700354576,F
35,sportswear athleticwear,0.07100000232458115,F
70,stationery greeting cards miscellaneous paper goods,0.0430000014603138,F
18,stuffed toys,0.0729999989271164,F
9,sunglasses,0.019999999552965164,F
68,toothpaste whiteners,0.1459999978542328,F
0,toy stores,0.09000000357627869,F
7,travel services,0.03400000184774399,F
57,tv networks stations production companies,0.06300000101327896,F
38,unisex scents fragrances perfumes,0.2240000069141388,F
27,vehicles sales leasing,0.017000000923871994,F
23,web design domain hosting services,0.09799999743700027,F
30,women scents fragrances perfumes,0.2750000059604645,F
37,women shaving supplies,0.2370000034570694,F
19,women shoes boots,0.13600000739097595,F
